Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
India,"75,846",,,,,,,Albania
,2018,,10.05,10.05,414,,,,Albania
390110 - Polyethylene having a specific gravity of less than 0.94,,10.00,10.00,2,,,,Albania
390120 - Polyethylene having a specific gravity of 0.94 or more,,10.00,10.00,1,,,,Albania
390130 - Ethylene-vinyl acetate copolymers,,10.00,10.00,1,,,,Albania
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,10.00,10.00,1,,,,Albania
390190 - Other,,10.00,10.00,2,,,,Albania
390210 - Polypropylene,,10.00,10.00,1,,,,Albania
390220 - Polyisobutylene,,10.00,10.00,1,,,,Albania
390230 - Propylene copolymers,,10.00,10.00,1,,,,Albania
390290 - Other,,10.00,10.00,1,,,,Albania
390311 - - Expansible,,10.00,10.00,1,,,,Albania
390319 - - Other,,10.00,10.00,2,,,,Albania
390320 - Styrene-acrylonitrile (SAN) copolymers,,10.00,10.00,1,,,,Albania
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,10.00,10.00,1,,,,Albania
390390 - Other,,10.00,10.00,3,,,,Albania
"390410 - Poly(vinyl chloride), not mixed with any other substances",,10.00,10.00,2,,,,Albania
390421 - - Non-plasticised,,10.00,10.00,2,,,,Albania
390422 - - Plasticised,,10.00,10.00,2,,,,Albania
390430 - Vinyl chloride-vinyl acetate copolymers,,10.00,10.00,2,,,,Albania
390440 - Other vinyl chloride copolymers,,10.00,10.00,1,,,,Albania
390450 - Vinylidene chloride polymers,,10.00,10.00,2,,,,Albania
390461 - - Polytetrafluoroethylene,,10.00,10.00,1,,,,Albania
390469 - - Other,,10.00,10.00,2,,,,Albania
390490 - Other,,10.00,10.00,1,,,,Albania
390512 - - In aqueous dispersion,,10.00,10.00,3,,,,Albania
390519 - - Other,,10.00,10.00,3,,,,Albania
390521 - - In aqueous dispersion,,10.00,10.00,1,,,,Albania
390529 - - Other,,10.00,10.00,1,,,,Albania
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,10.00,10.00,1,,,,Albania
390591 - - Copolymers,,10.00,10.00,1,,,,Albania
390599 - - Other,,10.00,10.00,2,,,,Albania
390610 - Poly(methyl methacrylate),,10.00,10.00,2,,,,Albania
