Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
United States of America,"26,148",,,,,,,Albania
,2018,,12.38,11.30,258,133,13,,Albania
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Albania
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Albania
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Albania
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Albania
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Albania
040221 - - Not containing added sugar or other sweetening matter,,,,9,9,,,Albania
040229 - - Other,,17.50,17.50,3,1,,,Albania
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,Albania
040299 - - Other,,17.50,17.50,9,7,,,Albania
040310 - Yogurt,,19.00,19.00,4,1,,,Albania
040390 - Other,,19.00,19.00,20,17,,,Albania
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Albania
040490 - Other,,12.50,9.38,5,2,1,,Albania
040510 - Butter,,,,3,3,,,Albania
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Albania
040590 - Other,,10.00,10.00,3,1,,,Albania
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,8.21,21,9,2,,Albania
"040620 - Grated or powdered cheese, of all kinds",,12.93,12.33,38,13,1,,Albania
"040630 - Processed cheese, not grated or powdered",,12.54,12.54,36,13,,,Albania
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Albania
040690 - Other cheese,,11.61,11.18,50,15,1,,Albania
040711 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Albania
040719 - - Other,,,0.00,1,1,1,,Albania
040721 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Albania
040729 - - Other,,,0.00,1,1,1,,Albania
040790 - Others,,,0.00,1,1,1,,Albania
040811 - - Dried,,,,1,1,,,Albania
040819 - - Other,,,,1,1,,,Albania
040891 - - Dried,,,,1,1,,,Albania
040899 - - Other,,,,1,1,,,Albania
040900 Natural honey.,,,,1,1,,,Albania
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Albania
