Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
European Union,"71,388,214",,,,,,,Brazil
,2018,,2.14,2.14,63,,,,Brazil
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,1.98,1.98,19,,,,Brazil
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Brazil
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,Brazil
950440 - Playing cards,,2.70,2.70,1,,,,Brazil
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Brazil
950490 - Other,,0.00,0.00,2,,,,Brazil
950510 - Articles for Christmas festivities,,1.35,1.35,2,,,,Brazil
950590 - Other,,2.70,2.70,1,,,,Brazil
950611 - - Skis,,3.70,3.70,4,,,,Brazil
950612 - - Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,Brazil
950619 - - Other,,2.70,2.70,1,,,,Brazil
950621 - - Sailboards,,2.70,2.70,1,,,,Brazil
950629 - - Other,,2.70,2.70,1,,,,Brazil
"950631 - - Clubs, complete",,2.70,2.70,1,,,,Brazil
950632 - - Balls,,2.70,2.70,1,,,,Brazil
950639 - - Other,,2.70,2.70,2,,,,Brazil
950640 - Articles and equipment for table-tennis,,2.70,2.70,1,,,,Brazil
"950651 - - Lawn-tennis rackets, whether or not strung",,4.70,4.70,1,,,,Brazil
950659 - - Other,,2.70,2.70,1,,,,Brazil
950661 - - Lawn-tennis balls,,2.70,2.70,1,,,,Brazil
950662 - - Inflatable,,2.70,2.70,1,,,,Brazil
950669 - - Other,,1.35,1.35,2,,,,Brazil
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,1.80,3,,,,Brazil
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,2.70,2,,,,Brazil
950699 - - Other,,1.35,1.35,2,,,,Brazil
950710 - Fishing rods,,3.70,3.70,1,,,,Brazil
"950720 - Fish-hooks, whether or not snelled",,2.70,2.70,2,,,,Brazil
950730 - Fishing reels,,3.70,3.70,1,,,,Brazil
950790 - Other,,3.70,3.70,1,,,,Brazil
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,Brazil
950890 - Other,,1.70,1.70,1,,,,Brazil
,2017,"5,500,409",2.14,2.14,63,,,,Brazil
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","960,127",1.98,1.98,19,,,,Brazil
950420 - Articles and accessories for billiards of all kinds,"655,449",0.00,0.00,1,,,,Brazil
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","123,400",0.00,0.00,3,,,,Brazil
950440 - Playing cards,"349,030",2.70,2.70,1,,,,Brazil
"950450 - Video game consoles and machines, other than those of subheading 9504.30","17,540",0.00,0.00,1,,,,Brazil
950490 - Other,"739,542",0.00,0.00,2,,,,Brazil
950510 - Articles for Christmas festivities,"26,458",1.35,1.35,2,,,,Brazil
950590 - Other,"20,802",2.70,2.70,1,,,,Brazil
950611 - - Skis,"1,737",3.70,3.70,4,,,,Brazil
950612 - - Ski-fastenings (ski-bindings),1,3.70,3.70,1,,,,Brazil
950619 - - Other,442,2.70,2.70,1,,,,Brazil
950621 - - Sailboards,17,2.70,2.70,1,,,,Brazil
950629 - - Other,"546,832",2.70,2.70,1,,,,Brazil
"950631 - - Clubs, complete","1,217",2.70,2.70,1,,,,Brazil
950632 - - Balls,"3,032",2.70,2.70,1,,,,Brazil
950639 - - Other,620,2.70,2.70,2,,,,Brazil
950640 - Articles and equipment for table-tennis,343,2.70,2.70,1,,,,Brazil
"950651 - - Lawn-tennis rackets, whether or not strung",53,4.70,4.70,1,,,,Brazil
950659 - - Other,"101,286",2.70,2.70,1,,,,Brazil
950661 - - Lawn-tennis balls,"1,282",2.70,2.70,1,,,,Brazil
950662 - - Inflatable,"38,603",2.70,2.70,1,,,,Brazil
950669 - - Other,"39,909",1.35,1.35,2,,,,Brazil
"950670 - Ice skates and roller skates, including skating boots with skates attached","7,022",1.80,1.80,3,,,,Brazil
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics","1,406,646",2.70,2.70,2,,,,Brazil
950699 - - Other,"287,695",1.35,1.35,2,,,,Brazil
950710 - Fishing rods,"3,418",3.70,3.70,1,,,,Brazil
"950720 - Fish-hooks, whether or not snelled",793,2.70,2.70,2,,,,Brazil
950730 - Fishing reels,"2,137",3.70,3.70,1,,,,Brazil
950790 - Other,"11,482",3.70,3.70,1,,,,Brazil
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,Brazil
950890 - Other,"153,495",1.70,1.70,1,,,,Brazil
,2016,"2,842,281",2.17,2.17,62,,,,Brazil
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","858,464",2.09,2.09,18,,,,Brazil
950420 - Articles and accessories for billiards of all kinds,"74,781",0.00,0.00,1,,,,Brazil
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","71,596",0.00,0.00,3,,,,Brazil
950440 - Playing cards,"475,876",2.70,2.70,1,,,,Brazil
"950450 -Video game consoles and machines, other than those of subheading 9504.30","9,301",0.00,0.00,1,,,,Brazil
950490 - Other,"294,480",0.00,0.00,2,,,,Brazil
950510 - Articles for Christmas festivities,"3,583",1.35,1.35,2,,,,Brazil
950590 - Other,"28,420",2.70,2.70,1,,,,Brazil
950611 -- Skis,"1,801",3.70,3.70,4,,,,Brazil
950612 -- Ski-fastenings (ski-bindings),161,3.70,3.70,1,,,,Brazil
950619 -- Other,634,2.70,2.70,1,,,,Brazil
950621 -- Sailboards,"5,314",2.70,2.70,1,,,,Brazil
950629 -- Other,"369,564",2.70,2.70,1,,,,Brazil
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Brazil
950632 -- Balls,,2.70,2.70,1,,,,Brazil
950639 -- Other,324,2.70,2.70,2,,,,Brazil
950640 - Articles and equipment for table-tennis,393,2.70,2.70,1,,,,Brazil
"950651 -- Lawn-tennis rackets, whether or not strung",160,4.70,4.70,1,,,,Brazil
950659 -- Other,95,2.70,2.70,1,,,,Brazil
950661 -- Lawn-tennis balls,564,2.70,2.70,1,,,,Brazil
950662 -- Inflatable,"134,180",2.70,2.70,1,,,,Brazil
950669 -- Other,"36,426",1.35,1.35,2,,,,Brazil
"950670 - Ice skates and roller skates, including skating boots with skates attached","4,626",1.80,1.80,3,,,,Brazil
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","112,188",2.70,2.70,2,,,,Brazil
950699 -- Other,"263,172",1.35,1.35,2,,,,Brazil
950710 - Fishing rods,35,3.70,3.70,1,,,,Brazil
"950720 - Fish-hooks, whether or not snelled",,2.70,2.70,2,,,,Brazil
950730 - Fishing reels,,3.70,3.70,1,,,,Brazil
950790 - Other,"22,950",3.70,3.70,1,,,,Brazil
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,Brazil
950890 - Other,"73,192",1.70,1.70,1,,,,Brazil
,2015,"5,093,990",2.17,2.17,62,,,,Brazil
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","806,740",2.09,2.09,18,,,,Brazil
950420 - Articles and accessories for billiards of all kinds,"104,384",0.00,0.00,1,,,,Brazil
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","2,074,799",0.00,0.00,3,,,,Brazil
950440 - Playing cards,"214,622",2.70,2.70,1,,,,Brazil
"950450 -Video game consoles and machines, other than those of subheading 9504.30","16,886",0.00,0.00,1,,,,Brazil
950490 - Other,"733,043",0.00,0.00,2,,,,Brazil
950510 - Articles for Christmas festivities,"3,119",1.35,1.35,2,,,,Brazil
950590 - Other,"19,456",2.70,2.70,1,,,,Brazil
950611 -- Skis,248,3.70,3.70,4,,,,Brazil
950612 -- Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,Brazil
950619 -- Other,120,2.70,2.70,1,,,,Brazil
950621 -- Sailboards,,2.70,2.70,1,,,,Brazil
950629 -- Other,"259,066",2.70,2.70,1,,,,Brazil
"950631 -- Clubs, complete",181,2.70,2.70,1,,,,Brazil
950632 -- Balls,214,2.70,2.70,1,,,,Brazil
950639 -- Other,,2.70,2.70,2,,,,Brazil
950640 - Articles and equipment for table-tennis,,2.70,2.70,1,,,,Brazil
"950651 -- Lawn-tennis rackets, whether or not strung","2,927",4.70,4.70,1,,,,Brazil
950659 -- Other,"1,426",2.70,2.70,1,,,,Brazil
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Brazil
950662 -- Inflatable,"193,635",2.70,2.70,1,,,,Brazil
