Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
European Union,"100,794,550",,,,,,,Costa Rica
,2018,,6.84,0.00,44,39,15,12,Costa Rica
170112 - - Beet sugar,,,,2,2,,,Costa Rica
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Costa Rica
170114 - - Other cane sugar,,,,2,2,,,Costa Rica
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,Costa Rica
170199 - - Other,,,,2,2,,,Costa Rica
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Costa Rica
170219 - - Other,,,,1,1,,,Costa Rica
170220 - Maple sugar and maple syrup,,8.00,0.00,2,1,1,,Costa Rica
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Costa Rica
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Costa Rica
170250 - Chemically pure fructose,,,,1,1,1,1,Costa Rica
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Costa Rica
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,0.00,8,7,1,,Costa Rica
170310 - Cane molasses,,0.00,0.00,1,,,,Costa Rica
170390 - Other,,0.00,0.00,1,,,,Costa Rica
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,2,2,Costa Rica
170490 - Other,,13.40,0.00,10,9,10,9,Costa Rica
,2017,"11,106,282",6.84,0.00,44,39,15,12,Costa Rica
170112 - - Beet sugar,,,,2,2,,,Costa Rica
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,"1,815,356",,,2,2,,,Costa Rica
170114 - - Other cane sugar,"9,048,722",,,2,2,,,Costa Rica
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,Costa Rica
170199 - - Other,"222,062",,,2,2,,,Costa Rica
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Costa Rica
170219 - - Other,,,,1,1,,,Costa Rica
170220 - Maple sugar and maple syrup,7,8.00,0.00,2,1,1,,Costa Rica
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Costa Rica
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Costa Rica
170250 - Chemically pure fructose,46,,,1,1,1,1,Costa Rica
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Costa Rica
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","19,496",12.80,0.00,8,7,1,,Costa Rica
170310 - Cane molasses,125,0.00,0.00,1,,,,Costa Rica
170390 - Other,,0.00,0.00,1,,,,Costa Rica
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,2,2,Costa Rica
170490 - Other,468,13.40,0.00,10,9,10,9,Costa Rica
,2016,"11,899,595",6.84,0.00,45,40,15,12,Costa Rica
170112 -- Beet sugar,,,,2,2,,,Costa Rica
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"1,683,660",,,2,2,,,Costa Rica
170114 -- Other cane sugar,"9,203,834",,,2,2,,,Costa Rica
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Costa Rica
170199 -- Other,"1,012,078",,,2,2,,,Costa Rica
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Costa Rica
170219 -- Other,,,,1,1,,,Costa Rica
170220 - Maple sugar and maple syrup,,8.00,0.00,2,1,1,,Costa Rica
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Costa Rica
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Costa Rica
170250 - Chemically pure fructose,,,,1,1,1,1,Costa Rica
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Costa Rica
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",9,12.80,0.00,8,7,1,,Costa Rica
170310 - Cane molasses,,0.00,0.00,1,,,,Costa Rica
170390 - Other,,0.00,0.00,1,,,,Costa Rica
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,2,2,Costa Rica
170490 - Other,14,13.40,0.00,10,9,10,9,Costa Rica
,2015,"11,234,397",6.84,0.00,45,40,15,12,Costa Rica
170112 -- Beet sugar,,,,2,2,,,Costa Rica
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"1,403,836",,,2,2,,,Costa Rica
170114 -- Other cane sugar,"8,407,657",,,2,2,,,Costa Rica
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Costa Rica
170199 -- Other,"1,422,712",,,2,2,,,Costa Rica
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Costa Rica
170219 -- Other,,,,1,1,,,Costa Rica
170220 - Maple sugar and maple syrup,,8.00,0.00,2,1,1,,Costa Rica
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Costa Rica
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Costa Rica
170250 - Chemically pure fructose,,,,1,1,1,1,Costa Rica
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Costa Rica
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",14,12.80,0.00,8,7,1,,Costa Rica
170310 - Cane molasses,,0.00,0.00,1,,,,Costa Rica
170390 - Other,,0.00,0.00,1,,,,Costa Rica
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,2,2,Costa Rica
170490 - Other,179,13.40,0.00,10,9,10,9,Costa Rica
,2014,"12,145,901",6.84,0.52,44,39,15,12,Costa Rica
170112 -- Beet sugar,,,,2,2,,,Costa Rica
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"1,467,203",,,2,2,,,Costa Rica
170114 -- Other cane sugar,"6,390,907",,,2,2,,,Costa Rica
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Costa Rica
170199 -- Other,"4,286,031",,,2,2,,,Costa Rica
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Costa Rica
170219 -- Other,"1,498",,,1,1,,,Costa Rica
170220 - Maple sugar and maple syrup,,8.00,2.60,2,1,1,,Costa Rica
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Costa Rica
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Costa Rica
170250 - Chemically pure fructose,,,,1,1,1,1,Costa Rica
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Costa Rica
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",226,12.80,0.00,8,7,1,,Costa Rica
170310 - Cane molasses,,0.00,0.00,1,,,,Costa Rica
170390 - Other,,0.00,0.00,1,,,,Costa Rica
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,2,2,Costa Rica
170490 - Other,37,13.40,0.00,10,9,10,9,Costa Rica
,2013,"35,129,392",6.84,1.60,44,39,14,12,Costa Rica
170112 -- Beet sugar,,,,2,2,,,Costa Rica
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"922,498",,,2,2,,,Costa Rica
170114 -- Other cane sugar,"30,438,725",,,2,2,,,Costa Rica
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Costa Rica
170199 -- Other,"3,767,902",,,2,2,,,Costa Rica
