Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
European Union,"1,819,142",,,,,,,Costa Rica
,2018,,2.75,0.00,23,,20,,Costa Rica
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Costa Rica
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Costa Rica
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Costa Rica
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Costa Rica
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Costa Rica
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Costa Rica
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,0.00,3,,3,,Costa Rica
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Costa Rica
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Costa Rica
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Costa Rica
880390 - Other,,1.56,0.00,5,,4,,Costa Rica
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Costa Rica
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Costa Rica
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Costa Rica
880529 - - Other,,0.00,0.00,1,,,,Costa Rica
,2017,"13,535",2.80,0.00,23,,20,,Costa Rica
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Costa Rica
"880211 - - Of an unladen weight not exceeding 2,000 kg",5,7.50,0.00,1,,1,,Costa Rica
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Costa Rica
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",1,7.70,0.00,1,,1,,Costa Rica
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Costa Rica
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",344,2.70,0.00,1,,1,,Costa Rica
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.87,0.00,3,,3,,Costa Rica
880310 - Propellers and rotors and parts thereof,287,2.70,0.00,1,,1,,Costa Rica
880320 - Under-carriages and parts thereof,"2,511",2.70,0.00,1,,1,,Costa Rica
880330 - Other parts of aeroplanes or helicopters,"10,301",2.70,0.00,1,,1,,Costa Rica
880390 - Other,87,1.56,0.00,5,,4,,Costa Rica
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Costa Rica
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Costa Rica
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Costa Rica
880529 - - Other,,0.00,0.00,1,,,,Costa Rica
,2016,"20,326",3.07,0.00,21,,21,,Costa Rica
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","7,151",3.20,0.00,2,,2,,Costa Rica
"880211 -- Of an unladen weight not exceeding 2,000 kg","3,051",7.50,0.00,1,,1,,Costa Rica
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Costa Rica
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Costa Rica
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Costa Rica
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Costa Rica
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Costa Rica
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Costa Rica
880320 - Under-carriages and parts thereof,"2,945",2.70,0.00,1,,1,,Costa Rica
880330 - Other parts of aeroplanes or helicopters,"6,813",2.70,0.00,1,,1,,Costa Rica
880390 - Other,366,1.95,0.00,4,,4,,Costa Rica
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Costa Rica
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Costa Rica
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Costa Rica
880529 -- Other,,1.70,0.00,1,,1,,Costa Rica
,2015,"3,070",3.07,0.00,21,,21,,Costa Rica
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Costa Rica
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Costa Rica
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Costa Rica
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Costa Rica
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Costa Rica
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Costa Rica
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Costa Rica
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Costa Rica
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Costa Rica
880330 - Other parts of aeroplanes or helicopters,"3,070",2.70,0.00,1,,1,,Costa Rica
880390 - Other,,1.95,0.00,4,,4,,Costa Rica
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Costa Rica
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Costa Rica
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Costa Rica
880529 -- Other,,1.70,0.00,1,,1,,Costa Rica
,2014,"22,947",3.07,0.00,21,,21,,Costa Rica
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Costa Rica
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Costa Rica
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Costa Rica
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Costa Rica
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Costa Rica
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Costa Rica
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Costa Rica
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Costa Rica
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Costa Rica
880330 - Other parts of aeroplanes or helicopters,"12,126",2.70,0.00,1,,1,,Costa Rica
880390 - Other,"4,600",1.95,0.00,4,,4,,Costa Rica
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Costa Rica
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Costa Rica
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Costa Rica
880529 -- Other,"6,221",1.70,0.00,1,,1,,Costa Rica
,2013,"16,042",3.07,0.00,21,,21,,Costa Rica
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Costa Rica
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Costa Rica
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Costa Rica
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Costa Rica
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Costa Rica
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Costa Rica
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Costa Rica
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Costa Rica
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Costa Rica
880330 - Other parts of aeroplanes or helicopters,"2,390",2.70,0.00,1,,1,,Costa Rica
880390 - Other,"13,612",1.95,0.00,4,,4,,Costa Rica
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Costa Rica
