Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
Yemen,0,,,,,,,Costa Rica
,2016,,4.56,4.56,35,1,,,Costa Rica
300120 - Extracts of glands or other organs or of their secretions,,5.00,5.00,1,,,,Costa Rica
300190 - Other,,5.00,5.00,1,,,,Costa Rica
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes",,5.00,5.00,1,,,,Costa Rica
300220 - Vaccines for human medicine,,5.00,5.00,1,,,,Costa Rica
300230 - Vaccines for veterinary medicine,,5.00,5.00,1,,,,Costa Rica
300290 - Other,,5.00,5.00,1,,,,Costa Rica
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,5.00,5.00,1,,,,Costa Rica
300320 - Containing other antibiotics,,5.00,5.00,1,,,,Costa Rica
300331 -- Containing insulin,,5.00,5.00,1,,,,Costa Rica
300339 -- Other,,5.00,5.00,1,,,,Costa Rica
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,5.00,5.00,1,,,,Costa Rica
300390 - Other,,2.50,2.50,2,,,,Costa Rica
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,5.00,5.00,1,,,,Costa Rica
300420 - Containing other antibiotics,,5.00,5.00,1,,,,Costa Rica
300431 -- Containing insulin,,5.00,5.00,1,,,,Costa Rica
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues",,5.00,5.00,1,,,,Costa Rica
300439 -- Other,,5.00,5.00,1,,,,Costa Rica
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics",,5.00,5.00,1,,,,Costa Rica
300450 - Other medicaments containing vitamins or other products of heading 29.36,,5.00,5.00,1,,,,Costa Rica
300490 - Other,,2.50,2.50,2,,,,Costa Rica
300510 - Adhesive dressings and other articles having an adhesive layer,,5.00,5.00,1,,,,Costa Rica
300590 - Other,,5.00,5.00,1,,,,Costa Rica
