Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
Brazil,"292,653,739",,,,,,,European Union
,2018,,16.70,16.70,23,,,,European Union
170112 - - Beet sugar,,16.00,16.00,1,,,,European Union
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,European Union
170114 - - Other cane sugar,,16.00,16.00,1,,,,European Union
170191 - - Containing added flavouring or colouring matter,,16.00,16.00,1,,,,European Union
170199 - - Other,,16.00,16.00,1,,,,European Union
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,European Union
170219 - - Other,,16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,,16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,16.00,16.00,1,,,,European Union
170310 - Cane molasses,,16.00,16.00,1,,,,European Union
170390 - Other,,16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,European Union
170490 - Other,,20.00,20.00,3,,,,European Union
,2017,"20,899,071",16.70,16.70,23,,,,European Union
170112 - - Beet sugar,"101,639",16.00,16.00,1,,,,European Union
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,European Union
170114 - - Other cane sugar,"1,216",16.00,16.00,1,,,,European Union
170191 - - Containing added flavouring or colouring matter,"36,459",16.00,16.00,1,,,,European Union
170199 - - Other,"143,518",16.00,16.00,1,,,,European Union
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","5,558,870",16.00,16.00,1,,,,European Union
170219 - - Other,"3,656,433",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,429,16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","1,631,595",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","177,661",16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"3,496",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","1,679",16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","1,099,962",16.00,16.00,1,,,,European Union
170310 - Cane molasses,736,16.00,16.00,1,,,,European Union
170390 - Other,494,16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","202,177",20.00,20.00,1,,,,European Union
170490 - Other,"8,282,707",20.00,20.00,3,,,,European Union
,2016,"19,745,981",16.70,16.70,23,,,,European Union
170112 -- Beet sugar,"25,422",16.00,16.00,1,,,,European Union
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,European Union
170114 -- Other cane sugar,"26,738",16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"2,714",16.00,16.00,1,,,,European Union
170199 -- Other,"202,739",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","5,266,829",16.00,16.00,1,,,,European Union
170219 -- Other,"2,478,093",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,548,16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","2,177,941",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","151,226",16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"5,365",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","23,313",16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","1,223,595",16.00,16.00,1,,,,European Union
170310 - Cane molasses,828,16.00,16.00,1,,,,European Union
170390 - Other,,16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","85,216",20.00,20.00,1,,,,European Union
170490 - Other,"8,075,414",20.00,20.00,3,,,,European Union
,2015,"23,819,132",16.70,16.70,23,,,,European Union
170112 -- Beet sugar,"2,589",16.00,16.00,1,,,,European Union
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,European Union
170114 -- Other cane sugar,670,16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"3,290",16.00,16.00,1,,,,European Union
170199 -- Other,"337,602",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","6,102,062",16.00,16.00,1,,,,European Union
170219 -- Other,"1,579,445",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,4,16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","2,028,203",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","88,968",16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"30,926",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","22,145",16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","714,022",16.00,16.00,1,,,,European Union
170310 - Cane molasses,38,16.00,16.00,1,,,,European Union
170390 - Other,,16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","96,329",20.00,20.00,1,,,,European Union
170490 - Other,"12,812,839",20.00,20.00,3,,,,European Union
,2014,"22,705,236",16.70,16.70,23,,,,European Union
170112 -- Beet sugar,"2,152",16.00,16.00,1,,,,European Union
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,European Union
170114 -- Other cane sugar,650,16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"1,603",16.00,16.00,1,,,,European Union
170199 -- Other,"45,100",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","7,218,991",16.00,16.00,1,,,,European Union
170219 -- Other,"2,445,978",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","1,956,719",16.00,16.00,3,,,,European Union
