Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
India,"365,491,967",,,,,,,European Union
,2018,,20.00,20.00,55,,,,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,20.00,20.00,4,,,,European Union
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,European Union
950440 - Playing cards,,20.00,20.00,1,,,,European Union
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,European Union
950490 - Other,,20.00,20.00,3,,,,European Union
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,European Union
950590 - Other,,20.00,20.00,2,,,,European Union
950611 - - Skis,,20.00,20.00,1,,,,European Union
950612 - - Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,European Union
950619 - - Other,,20.00,20.00,1,,,,European Union
950621 - - Sailboards,,20.00,20.00,1,,,,European Union
950629 - - Other,,20.00,20.00,1,,,,European Union
"950631 - - Clubs, complete",,20.00,20.00,1,,,,European Union
950632 - - Balls,,20.00,20.00,1,,,,European Union
950639 - - Other,,20.00,20.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,European Union
"950651 - - Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,European Union
950659 - - Other,,20.00,20.00,2,,,,European Union
950661 - - Lawn-tennis balls,,20.00,20.00,1,,,,European Union
950662 - - Inflatable,,20.00,20.00,4,,,,European Union
950669 - - Other,,20.00,20.00,5,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,European Union
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,2,,,,European Union
950699 - - Other,,20.00,20.00,9,,,,European Union
950710 - Fishing rods,,20.00,20.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,European Union
950730 - Fishing reels,,20.00,20.00,1,,,,European Union
950790 - Other,,20.00,20.00,2,,,,European Union
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,European Union
950890 - Other,,20.00,20.00,1,,,,European Union
,2017,,9.09,9.09,55,,,,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,10.00,10.00,4,,,,European Union
950420 - Articles and accessories for billiards of all kinds,,10.00,10.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,10.00,10.00,1,,,,European Union
950440 - Playing cards,,10.00,10.00,1,,,,European Union
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,10.00,10.00,1,,,,European Union
950490 - Other,,10.00,10.00,3,,,,European Union
950510 - Articles for Christmas festivities,,10.00,10.00,1,,,,European Union
950590 - Other,,10.00,10.00,2,,,,European Union
950611 - - Skis,,0.00,0.00,1,,,,European Union
950612 - - Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,European Union
950619 - - Other,,0.00,0.00,1,,,,European Union
950621 - - Sailboards,,0.00,0.00,1,,,,European Union
950629 - - Other,,0.00,0.00,1,,,,European Union
"950631 - - Clubs, complete",,10.00,10.00,1,,,,European Union
950632 - - Balls,,10.00,10.00,1,,,,European Union
950639 - - Other,,10.00,10.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,,10.00,10.00,1,,,,European Union
"950651 - - Lawn-tennis rackets, whether or not strung",,10.00,10.00,1,,,,European Union
950659 - - Other,,10.00,10.00,2,,,,European Union
950661 - - Lawn-tennis balls,,10.00,10.00,1,,,,European Union
950662 - - Inflatable,,10.00,10.00,4,,,,European Union
950669 - - Other,,10.00,10.00,5,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached",,10.00,10.00,1,,,,European Union
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,10.00,10.00,2,,,,European Union
950699 - - Other,,10.00,10.00,9,,,,European Union
950710 - Fishing rods,,10.00,10.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled",,10.00,10.00,1,,,,European Union
950730 - Fishing reels,,10.00,10.00,1,,,,European Union
950790 - Other,,10.00,10.00,2,,,,European Union
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,European Union
950890 - Other,,10.00,10.00,1,,,,European Union
,2016,"27,312,834",9.09,9.09,55,,,,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","6,226,599",10.00,10.00,4,,,,European Union
950420 - Articles and accessories for billiards of all kinds,"129,883",10.00,10.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","854,210",10.00,10.00,1,,,,European Union
950440 - Playing cards,"64,373",10.00,10.00,1,,,,European Union
"950450 -Video game consoles and machines, other than those of subheading 9504.30","178,809",10.00,10.00,1,,,,European Union
950490 - Other,"1,016,699",10.00,10.00,3,,,,European Union
950510 - Articles for Christmas festivities,"22,858",10.00,10.00,1,,,,European Union
950590 - Other,"23,595",10.00,10.00,2,,,,European Union
950611 -- Skis,"4,975",0.00,0.00,1,,,,European Union
950612 -- Ski-fastenings (ski-bindings),"14,404",0.00,0.00,1,,,,European Union
950619 -- Other,"31,367",0.00,0.00,1,,,,European Union
950621 -- Sailboards,"121,497",0.00,0.00,1,,,,European Union
950629 -- Other,"469,867",0.00,0.00,1,,,,European Union
"950631 -- Clubs, complete",,10.00,10.00,1,,,,European Union
950632 -- Balls,439,10.00,10.00,1,,,,European Union
950639 -- Other,"23,311",10.00,10.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,"189,200",10.00,10.00,1,,,,European Union
"950651 -- Lawn-tennis rackets, whether or not strung","148,134",10.00,10.00,1,,,,European Union
950659 -- Other,"163,864",10.00,10.00,2,,,,European Union
950661 -- Lawn-tennis balls,"5,070",10.00,10.00,1,,,,European Union
950662 -- Inflatable,"8,428",10.00,10.00,4,,,,European Union
950669 -- Other,"395,383",10.00,10.00,5,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached","27,002",10.00,10.00,1,,,,European Union
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","4,643,266",10.00,10.00,2,,,,European Union
950699 -- Other,"6,618,325",10.00,10.00,9,,,,European Union
950710 - Fishing rods,,10.00,10.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled","10,459",10.00,10.00,1,,,,European Union
