Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
European Union,"10,818,792,535",,,,,,,India
,2018,,5.48,0.90,210,,179,,India
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,3.00,2,,2,,India
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,1.50,2,,1,,India
390130 - Ethylene-vinyl acetate copolymers,,6.50,3.00,1,,1,,India
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,6.50,3.00,1,,1,,India
390190 - Other,,3.25,1.50,2,,1,,India
390210 - Polypropylene,,6.50,3.00,1,,1,,India
390220 - Polyisobutylene,,6.50,3.00,1,,1,,India
390230 - Propylene copolymers,,6.50,3.00,1,,1,,India
390290 - Other,,2.17,1.00,3,,1,,India
390311 - - Expansible,,6.50,3.00,1,,1,,India
390319 - - Other,,6.50,0.00,1,,1,,India
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,3.00,1,,1,,India
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,3.00,1,,1,,India
390390 - Other,,2.17,1.00,3,,1,,India
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,3.00,1,,1,,India
390421 - - Non-plasticised,,6.50,3.00,1,,1,,India
390422 - - Plasticised,,6.50,3.00,1,,1,,India
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,3.00,1,,1,,India
390440 - Other vinyl chloride copolymers,,6.50,3.00,1,,1,,India
390450 - Vinylidene chloride polymers,,3.25,1.50,2,,1,,India
390461 - - Polytetrafluoroethylene,,6.50,3.00,1,,1,,India
390469 - - Other,,4.33,2.00,3,,2,,India
390490 - Other,,6.50,3.00,1,,1,,India
390512 - - In aqueous dispersion,,6.50,0.00,1,,1,,India
390519 - - Other,,6.50,0.00,1,,1,,India
390521 - - In aqueous dispersion,,6.50,0.00,1,,1,,India
390529 - - Other,,6.50,0.00,1,,1,,India
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,0.00,1,,1,,India
390591 - - Copolymers,,6.50,0.00,1,,1,,India
390599 - - Other,,3.25,0.00,2,,1,,India
390610 - Poly(methyl methacrylate),,6.50,2.90,1,,1,,India
390690 - Other,,0.93,0.00,7,,1,,India
390710 - Polyacetals,,6.50,2.20,1,,1,,India
390720 - Other polyethers,,4.88,0.00,4,,3,,India
390730 - Epoxide resins,,6.50,0.00,1,,1,,India
390740 - Polycarbonates,,6.50,0.00,1,,1,,India
390750 - Alkyd resins,,6.50,0.00,1,,1,,India
390761 - - Having a viscosity number of 78 ml/g or higher,,6.50,0.00,1,,1,,India
390769 - - Other,,6.50,3.00,1,,1,,India
390770 - Poly(lactic acid),,0.00,0.00,1,,,,India
390791 - - Unsaturated,,6.50,0.00,2,,2,,India
390799 - - Other,,3.27,1.00,3,,2,,India
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.50,2.20,1,,1,,India
390890 - Other,,6.50,2.20,1,,1,,India
390910 - Urea resins; thiourea resins,,6.50,0.00,1,,1,,India
390920 - Melamine resins,,6.50,0.00,1,,1,,India
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,6.50,0.00,1,,1,,India
390939 - - Other,,6.50,0.00,1,,1,,India
390940 - Phenolic resins,,6.50,0.00,1,,1,,India
390950 - Polyurethanes,,3.25,0.00,2,,1,,India
391000 Silicones in primary forms.,,6.50,0.00,1,,1,,India
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,6.50,0.00,1,,1,,India
391190 - Other,,3.30,0.00,5,,3,,India
391211 - - Non-plasticised,,6.50,0.00,1,,1,,India
391212 - - Plasticised,,6.50,0.00,1,,1,,India
391220 - Cellulose nitrates (including collodions),,6.33,0.00,3,,3,,India
391231 - - Carboxymethylcellulose and its salts,,6.50,0.00,1,,1,,India
391239 - - Other,,3.25,0.00,2,,1,,India
391290 - Other,,6.45,0.00,2,,2,,India
"391310 - Alginic acid, its salts and esters",,5.00,0.00,1,,1,,India
391390 - Other,,6.50,0.00,1,,1,,India
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,6.50,0.00,1,,1,,India
391510 - Of polymers of ethylene,,6.50,0.00,1,,1,,India
391520 - Of polymers of styrene,,6.50,0.00,1,,1,,India
391530 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,India
391590 - Of other plastics,,6.50,0.00,2,,2,,India
391610 - Of polymers of ethylene,,6.50,0.00,1,,1,,India
391620 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,India
391690 - Of other plastics,,6.50,0.00,3,,3,,India
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,5.90,0.00,2,,2,,India
391721 - - Of polymers of ethylene,,6.50,0.00,2,,2,,India
391722 - - Of polymers of propylene,,6.50,0.00,2,,2,,India
391723 - - Of polymers of vinyl chloride,,6.50,0.00,2,,2,,India
391729 - - Of other plastics,,6.50,0.00,1,,1,,India
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,6.50,0.00,1,,1,,India
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,6.50,0.00,1,,1,,India
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,6.50,0.00,1,,1,,India
391739 - - Other,,6.50,0.00,1,,1,,India
391740 - Fittings,,6.50,0.00,1,,1,,India
391810 - Of polymers of vinyl chloride,,6.50,0.00,2,,2,,India
391890 - Of other plastics,,6.50,0.00,1,,1,,India
391910 - In rolls of a width not exceeding 20 cm,,6.35,0.00,4,,4,,India
391990 - Other,,3.25,0.00,2,,1,,India
392010 - Of polymers of ethylene,,4.64,2.14,7,,5,,India
392020 - Of polymers of propylene,,6.50,3.00,3,,3,,India
392030 - Of polymers of styrene,,6.50,3.00,1,,1,,India
392043 - - Containing by weight not less than 6 % of plasticisers,,6.50,3.00,2,,2,,India
392049 - - Other,,6.50,3.00,2,,2,,India
