Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
European Union,"349,832,075,908",,,,,,,Japan
,2018,,2.39,2.39,498,,,,Japan
850110 - Motors of an output not exceeding 37.5 W,,3.20,3.20,4,,,,Japan
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,2.70,2.70,1,,,,Japan
850131 - - Of an output not exceeding 750 W,,2.70,2.70,1,,,,Japan
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,2.70,1,,,,Japan
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,,2.70,2.70,1,,,,Japan
850134 - - Of an output exceeding 375 kW,,2.70,2.70,1,,,,Japan
"850140 - Other AC motors, single-phase",,2.70,2.70,2,,,,Japan
850151 - - Of an output not exceeding 750 W,,2.70,2.70,1,,,,Japan
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,2.70,3,,,,Japan
850153 - - Of an output exceeding 75 kW,,2.70,2.70,4,,,,Japan
850161 - - Of an output not exceeding 75 kVA,,2.70,2.70,2,,,,Japan
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,2.70,1,,,,Japan
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,,2.70,2.70,1,,,,Japan
850164 - - Of an output exceeding 750 kVA,,2.70,2.70,1,,,,Japan
850211 - - Of an output not exceeding 75 kVA,,2.70,2.70,2,,,,Japan
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,2.70,1,,,,Japan
850213 - - Of an output exceeding 375 kVA,,2.70,2.70,3,,,,Japan
850220 - Generating sets with spark-ignition internal combustion piston engines,,2.70,2.70,4,,,,Japan
850231 - - Wind-powered,,2.70,2.70,1,,,,Japan
850239 - - Other,,2.70,2.70,2,,,,Japan
850240 - Electric rotary converters,,2.70,2.70,1,,,,Japan
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,2.70,2.70,3,,,,Japan
850410 - Ballasts for discharge lamps or tubes,,3.70,3.70,2,,,,Japan
850421 - - Having a power handling capacity not exceeding 650 kVA,,3.70,3.70,1,,,,Japan
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,3.70,3.70,2,,,,Japan
"850423 - - Having a power handling capacity exceeding 10,000 kVA",,3.70,3.70,1,,,,Japan
850431 - - Having a power handling capacity not exceeding 1 kVA,,3.70,3.70,3,,,,Japan
850432 - - Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,3.70,3.70,1,,,,Japan
850433 - - Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,3.70,3.70,1,,,,Japan
850434 - - Having a power handling capacity exceeding 500 kVA,,3.70,3.70,1,,,,Japan
850440 - Static converters,,1.42,1.42,6,,,,Japan
850450 - Other inductors,,0.95,0.95,2,,,,Japan
850490 - Parts,,0.66,0.66,5,,,,Japan
850511 - - Of metal,,2.20,2.20,1,,,,Japan
850519 - - Other,,2.20,2.20,2,,,,Japan
"850520 - Electro-magnetic couplings, clutches and brakes",,2.20,2.20,1,,,,Japan
"850590 - Other, including parts",,1.45,1.45,4,,,,Japan
850610 - Manganese dioxide,,4.70,4.70,4,,,,Japan
850630 - Mercuric oxide,,4.70,4.70,1,,,,Japan
850640 - Silver oxide,,4.70,4.70,1,,,,Japan
850650 - Lithium,,4.70,4.70,3,,,,Japan
850660 - Air-zinc,,4.70,4.70,1,,,,Japan
850680 - Other primary cells and primary batteries,,2.35,2.35,2,,,,Japan
850690 - Parts,,4.70,4.70,1,,,,Japan
"850710 - Lead-acid, of a kind used for starting piston engines",,3.70,3.70,2,,,,Japan
850720 - Other lead-acid accumulators,,3.70,3.70,2,,,,Japan
850730 - Nickel-cadmium,,2.60,2.60,2,,,,Japan
850740 - Nickel-iron,,2.70,2.70,1,,,,Japan
850750 - Nickel-metal hydride,,2.70,2.70,1,,,,Japan
850760 - Lithium-ion,,2.70,2.70,1,,,,Japan
850780 - Other accumulators,,2.70,2.70,1,,,,Japan
850790 - Parts,,2.70,2.70,2,,,,Japan
"850811 - - Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l",,2.20,2.20,1,,,,Japan
850819 - - Other,,1.70,1.70,1,,,,Japan
850860 - Other vacuum cleaners,,1.70,1.70,1,,,,Japan
850870 - Parts,,1.70,1.70,1,,,,Japan
850940 - Food grinders and mixers; fruit or vegetable juice extractors,,2.20,2.20,1,,,,Japan
850980 - Other appliances,,2.20,2.20,1,,,,Japan
850990 - Parts,,2.20,2.20,1,,,,Japan
851010 - Shavers,,2.20,2.20,1,,,,Japan
851020 - Hair clippers,,2.20,2.20,1,,,,Japan
851030 - Hair-removing appliances,,2.20,2.20,1,,,,Japan
851090 - Parts,,2.20,2.20,1,,,,Japan
851110 - Sparking plugs,,3.20,3.20,1,,,,Japan
851120 - Ignition magnetos; magneto-dynamos; magnetic flywheels,,3.20,3.20,1,,,,Japan
851130 - Distributors; ignition coils,,3.20,3.20,1,,,,Japan
851140 - Starter motors and dual purpose starter-generators,,3.20,3.20,1,,,,Japan
851150 - Other generators,,3.20,3.20,1,,,,Japan
851180 - Other equipment,,3.20,3.20,1,,,,Japan
851190 - Parts,,3.20,3.20,1,,,,Japan
851210 - Lighting or visual signalling equipment of a kind used on bicycles,,2.70,2.70,1,,,,Japan
851220 - Other lighting or visual signalling equipment,,2.70,2.70,1,,,,Japan
851230 - Sound signalling equipment,,2.45,2.45,2,,,,Japan
"851240 - Windscreen wipers, defrosters and demisters",,2.70,2.70,1,,,,Japan
851290 - Parts,,2.45,2.45,2,,,,Japan
851310 - Lamps,,5.70,5.70,1,,,,Japan
851390 - Parts,,5.70,5.70,1,,,,Japan
