Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
India,"1,512,023",,,,,,,Japan
,2018,,34.47,34.47,47,,,,Japan
"040110 - Of a fat content, by weight, not exceeding 1 %",,30.00,30.00,1,,,,Japan
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,30.00,30.00,1,,,,Japan
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,30.00,30.00,1,,,,Japan
"040150 - Of a fat content, by weight, exceeding 10 %",,30.00,30.00,1,,,,Japan
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,60.00,60.00,3,,,,Japan
040221 - - Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,Japan
040229 - - Other,,30.00,30.00,3,,,,Japan
040291 - - Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,Japan
040299 - - Other,,30.00,30.00,3,,,,Japan
040310 - Yogurt,,30.00,30.00,1,,,,Japan
040390 - Other,,30.00,30.00,2,,,,Japan
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,Japan
040490 - Other,,30.00,30.00,1,,,,Japan
040510 - Butter,,40.00,40.00,1,,,,Japan
040520 - Dairy spreads,,40.00,40.00,1,,,,Japan
040590 - Other,,40.00,40.00,3,,,,Japan
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,30.00,1,,,,Japan
"040620 - Grated or powdered cheese, of all kinds",,30.00,30.00,1,,,,Japan
"040630 - Processed cheese, not grated or powdered",,30.00,30.00,1,,,,Japan
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,30.00,30.00,1,,,,Japan
040690 - Other cheese,,40.00,40.00,1,,,,Japan
040711 - - Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,Japan
040719 - - Other,,30.00,30.00,2,,,,Japan
040721 - - Of fowls of the species Gallus domesticus,,30.00,30.00,1,,,,Japan
040729 - - Other,,30.00,30.00,1,,,,Japan
040790 - Others,,30.00,30.00,1,,,,Japan
040811 - - Dried,,30.00,30.00,1,,,,Japan
040819 - - Other,,30.00,30.00,1,,,,Japan
040891 - - Dried,,30.00,30.00,1,,,,Japan
040899 - - Other,,30.00,30.00,1,,,,Japan
040900 Natural honey.,,60.00,60.00,1,,,,Japan
"041000 Edible products of animal origin, not elsewhere specified or included.",,30.00,30.00,3,,,,Japan
,2017,,33.62,33.62,47,,,,Japan
"040110 - Of a fat content, by weight, not exceeding 1 %",,30.00,30.00,1,,,,Japan
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,30.00,30.00,1,,,,Japan
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,30.00,30.00,1,,,,Japan
"040150 - Of a fat content, by weight, exceeding 10 %",,30.00,30.00,1,,,,Japan
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,60.00,60.00,3,,,,Japan
040221 - - Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,Japan
040229 - - Other,,30.00,30.00,3,,,,Japan
040291 - - Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,Japan
040299 - - Other,,30.00,30.00,3,,,,Japan
040310 - Yogurt,,30.00,30.00,1,,,,Japan
040390 - Other,,30.00,30.00,2,,,,Japan
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,Japan
040490 - Other,,30.00,30.00,1,,,,Japan
040510 - Butter,,30.00,30.00,1,,,,Japan
040520 - Dairy spreads,,40.00,40.00,1,,,,Japan
040590 - Other,,33.33,33.33,3,,,,Japan
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,30.00,1,,,,Japan
"040620 - Grated or powdered cheese, of all kinds",,30.00,30.00,1,,,,Japan
"040630 - Processed cheese, not grated or powdered",,30.00,30.00,1,,,,Japan
