Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
India,"170,819,140",,,,,,,Japan
,2018,,7.90,7.90,20,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,Japan
"880211 - - Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,Japan
"880212 - - Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,,3.00,3.00,1,,,,Japan
880320 - Under-carriages and parts thereof,,3.00,3.00,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,,3.00,3.00,1,,,,Japan
880390 - Other,,10.00,10.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,Japan
880521 - - Air combat simulators and parts thereof,,10.00,10.00,1,,,,Japan
880529 - - Other,,10.00,10.00,1,,,,Japan
,2017,,7.83,7.83,20,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,Japan
"880211 - - Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,Japan
"880212 - - Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,Japan
880310 - Propellers and rotors and parts thereof,,2.50,2.50,1,,,,Japan
880320 - Under-carriages and parts thereof,,2.50,2.50,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,,2.50,2.50,1,,,,Japan
880390 - Other,,10.00,10.00,1,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,Japan
880521 - - Air combat simulators and parts thereof,,10.00,10.00,1,,,,Japan
880529 - - Other,,10.00,10.00,1,,,,Japan
