Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
European Union,"125,764,430",,,,,,,Cambodia
,2018,,6.84,0.00,44,39,42,,Cambodia
170112 - - Beet sugar,,,0.00,2,2,2,,Cambodia
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,0.00,2,2,2,,Cambodia
170114 - - Other cane sugar,,,0.00,2,2,2,,Cambodia
170191 - - Containing added flavouring or colouring matter,,,0.00,1,1,1,,Cambodia
170199 - - Other,,,0.00,2,2,2,,Cambodia
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,Cambodia
170219 - - Other,,,0.00,1,1,1,,Cambodia
170220 - Maple sugar and maple syrup,,8.00,0.00,2,1,2,,Cambodia
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,0.00,3,3,3,,Cambodia
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,0.00,2,2,2,,Cambodia
170250 - Chemically pure fructose,,,0.00,1,1,1,,Cambodia
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,0.00,3,3,3,,Cambodia
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,0.00,8,7,8,,Cambodia
170310 - Cane molasses,,0.00,0.00,1,,,,Cambodia
170390 - Other,,0.00,0.00,1,,,,Cambodia
"170410 - Chewing gum, whether or not sugar-coated",,,0.00,2,2,2,,Cambodia
170490 - Other,,13.40,0.00,10,9,10,,Cambodia
,2017,"16,554,219",6.84,0.00,45,40,33,,Cambodia
170112 - - Beet sugar,,,,2,2,,,Cambodia
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Cambodia
170114 - - Other cane sugar,"15,986,611",,,2,2,,,Cambodia
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,Cambodia
170199 - - Other,5,,,2,2,,,Cambodia
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,Cambodia
170219 - - Other,,,0.00,1,1,1,,Cambodia
170220 - Maple sugar and maple syrup,,8.00,0.00,2,1,2,,Cambodia
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,0.00,3,3,3,,Cambodia
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,0.00,2,2,2,,Cambodia
170250 - Chemically pure fructose,2,,0.00,1,1,1,,Cambodia
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,0.00,3,3,3,,Cambodia
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","567,565",12.80,0.00,8,7,8,,Cambodia
170310 - Cane molasses,16,0.00,0.00,1,,,,Cambodia
170390 - Other,,0.00,0.00,1,,,,Cambodia
"170410 - Chewing gum, whether or not sugar-coated",,,0.00,2,2,2,,Cambodia
170490 - Other,20,13.40,0.00,10,9,10,,Cambodia
,2016,"2,326,048",6.84,0.00,46,41,44,,Cambodia
170112 -- Beet sugar,,,0.00,2,2,2,,Cambodia
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,0.00,2,2,2,,Cambodia
170114 -- Other cane sugar,"986,097",,0.00,2,2,2,,Cambodia
170191 -- Containing added flavouring or colouring matter,,,0.00,1,1,1,,Cambodia
170199 -- Other,"1,202,699",,0.00,2,2,2,,Cambodia
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,Cambodia
170219 -- Other,,,0.00,1,1,1,,Cambodia
170220 - Maple sugar and maple syrup,,8.00,0.00,2,1,2,,Cambodia
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,0.00,3,3,3,,Cambodia
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,0.00,2,2,2,,Cambodia
170250 - Chemically pure fructose,,,0.00,1,1,1,,Cambodia
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,0.00,3,3,3,,Cambodia
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","137,252",12.80,0.00,8,7,8,,Cambodia
170310 - Cane molasses,,0.00,0.00,1,,,,Cambodia
170390 - Other,,0.00,0.00,1,,,,Cambodia
"170410 - Chewing gum, whether or not sugar-coated",,,0.00,2,2,2,,Cambodia
170490 - Other,,13.40,0.00,10,9,10,,Cambodia
,2015,"2,009,903",6.84,0.00,45,40,43,,Cambodia
170112 -- Beet sugar,,,0.00,2,2,2,,Cambodia
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,0.00,2,2,2,,Cambodia
170114 -- Other cane sugar,"1,985,801",,0.00,2,2,2,,Cambodia
170191 -- Containing added flavouring or colouring matter,,,0.00,1,1,1,,Cambodia
170199 -- Other,,,0.00,2,2,2,,Cambodia
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,Cambodia
170219 -- Other,,,0.00,1,1,1,,Cambodia
