Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
European Union,"115,413,317",,,,,,,Cambodia
,2018,,2.75,0.00,23,,20,,Cambodia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Cambodia
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Cambodia
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Cambodia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Cambodia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Cambodia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Cambodia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,0.00,3,,3,,Cambodia
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Cambodia
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Cambodia
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Cambodia
880390 - Other,,1.56,0.00,5,,4,,Cambodia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Cambodia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Cambodia
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Cambodia
880529 - - Other,,0.00,0.00,1,,,,Cambodia
,2017,"5,940",2.80,0.00,23,,20,,Cambodia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Cambodia
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Cambodia
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Cambodia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Cambodia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Cambodia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",19,2.70,0.00,1,,1,,Cambodia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.87,0.00,3,,3,,Cambodia
880310 - Propellers and rotors and parts thereof,47,2.70,0.00,1,,1,,Cambodia
880320 - Under-carriages and parts thereof,63,2.70,0.00,1,,1,,Cambodia
880330 - Other parts of aeroplanes or helicopters,"5,803",2.70,0.00,1,,1,,Cambodia
880390 - Other,7,1.56,0.00,5,,4,,Cambodia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Cambodia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Cambodia
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Cambodia
880529 - - Other,,0.00,0.00,1,,,,Cambodia
,2016,"59,609,623",3.07,0.00,21,,21,,Cambodia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Cambodia
