Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
India,"392,099",,,,,,,Cambodia
,2018,,10.05,10.05,414,,,,Cambodia
390110 - Polyethylene having a specific gravity of less than 0.94,,10.00,10.00,2,,,,Cambodia
390120 - Polyethylene having a specific gravity of 0.94 or more,,10.00,10.00,1,,,,Cambodia
390130 - Ethylene-vinyl acetate copolymers,,10.00,10.00,1,,,,Cambodia
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,10.00,10.00,1,,,,Cambodia
390190 - Other,,10.00,10.00,2,,,,Cambodia
390210 - Polypropylene,,10.00,10.00,1,,,,Cambodia
390220 - Polyisobutylene,,10.00,10.00,1,,,,Cambodia
390230 - Propylene copolymers,,10.00,10.00,1,,,,Cambodia
390290 - Other,,10.00,10.00,1,,,,Cambodia
390311 - - Expansible,,10.00,10.00,1,,,,Cambodia
390319 - - Other,,10.00,10.00,2,,,,Cambodia
390320 - Styrene-acrylonitrile (SAN) copolymers,,10.00,10.00,1,,,,Cambodia
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,10.00,10.00,1,,,,Cambodia
390390 - Other,,10.00,10.00,3,,,,Cambodia
"390410 - Poly(vinyl chloride), not mixed with any other substances",,10.00,10.00,2,,,,Cambodia
390421 - - Non-plasticised,,10.00,10.00,2,,,,Cambodia
390422 - - Plasticised,,10.00,10.00,2,,,,Cambodia
390430 - Vinyl chloride-vinyl acetate copolymers,,10.00,10.00,2,,,,Cambodia
390440 - Other vinyl chloride copolymers,,10.00,10.00,1,,,,Cambodia
390450 - Vinylidene chloride polymers,,10.00,10.00,2,,,,Cambodia
390461 - - Polytetrafluoroethylene,,10.00,10.00,1,,,,Cambodia
390469 - - Other,,10.00,10.00,2,,,,Cambodia
390490 - Other,,10.00,10.00,1,,,,Cambodia
390512 - - In aqueous dispersion,,10.00,10.00,3,,,,Cambodia
390519 - - Other,,10.00,10.00,3,,,,Cambodia
390521 - - In aqueous dispersion,,10.00,10.00,1,,,,Cambodia
390529 - - Other,,10.00,10.00,1,,,,Cambodia
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,10.00,10.00,1,,,,Cambodia
390591 - - Copolymers,,10.00,10.00,1,,,,Cambodia
390599 - - Other,,10.00,10.00,2,,,,Cambodia
390610 - Poly(methyl methacrylate),,10.00,10.00,2,,,,Cambodia
390690 - Other,,10.00,10.00,4,,,,Cambodia
390710 - Polyacetals,,10.00,10.00,1,,,,Cambodia
390720 - Other polyethers,,10.00,10.00,2,,,,Cambodia
390730 - Epoxide resins,,10.00,10.00,2,,,,Cambodia
390740 - Polycarbonates,,10.00,10.00,1,,,,Cambodia
390750 - Alkyd resins,,10.00,10.00,1,,,,Cambodia
