Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
United States of America,"534,316",,,,,,,Cambodia
,2018,,12.38,0.36,258,133,173,,Cambodia
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,1,1,1,,Cambodia
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,0.00,2,2,1,,Cambodia
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,0.00,3,3,2,,Cambodia
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,4,,Cambodia
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,0.00,3,3,2,,Cambodia
040221 - - Not containing added sugar or other sweetening matter,,,0.00,9,9,6,,Cambodia
040229 - - Other,,17.50,0.00,3,1,2,,Cambodia
040291 - - Not containing added sugar or other sweetening matter,,,0.00,6,6,4,,Cambodia
040299 - - Other,,17.50,0.00,9,7,6,,Cambodia
040310 - Yogurt,,19.00,0.00,4,1,3,,Cambodia
040390 - Other,,19.00,0.00,20,17,14,,Cambodia
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,0.00,8,5,6,,Cambodia
040490 - Other,,12.50,0.00,5,2,4,,Cambodia
040510 - Butter,,,0.00,3,3,2,,Cambodia
040520 - Dairy spreads,,8.80,0.00,8,5,6,,Cambodia
040590 - Other,,10.00,0.00,3,1,2,,Cambodia
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,0.00,21,9,12,,Cambodia
"040620 - Grated or powdered cheese, of all kinds",,12.93,0.68,38,13,24,,Cambodia
"040630 - Processed cheese, not grated or powdered",,12.54,0.74,36,13,22,,Cambodia
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,3.73,9,1,6,,Cambodia
040690 - Other cheese,,11.61,0.00,50,15,33,,Cambodia
040711 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Cambodia
040719 - - Other,,,0.00,1,1,1,,Cambodia
040721 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Cambodia
040729 - - Other,,,0.00,1,1,1,,Cambodia
040790 - Others,,,0.00,1,1,1,,Cambodia
040811 - - Dried,,,0.00,1,1,1,,Cambodia
040819 - - Other,,,0.00,1,1,1,,Cambodia
040891 - - Dried,,,0.00,1,1,1,,Cambodia
040899 - - Other,,,0.00,1,1,1,,Cambodia
040900 Natural honey.,,,0.00,1,1,1,,Cambodia
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Cambodia
,2017,"6,000",12.05,0.36,258,133,173,,Cambodia
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,1,1,1,,Cambodia
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %","6,000",,0.00,2,2,1,,Cambodia
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,0.00,3,3,2,,Cambodia
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,4,,Cambodia
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,0.00,3,3,2,,Cambodia
040221 - - Not containing added sugar or other sweetening matter,,,0.00,9,9,6,,Cambodia
040229 - - Other,,17.50,0.00,3,1,2,,Cambodia
040291 - - Not containing added sugar or other sweetening matter,,,0.00,6,6,4,,Cambodia
040299 - - Other,,17.50,0.00,9,7,6,,Cambodia
040310 - Yogurt,,19.00,0.00,4,1,3,,Cambodia
040390 - Other,,19.00,0.00,20,17,14,,Cambodia
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,0.00,8,5,6,,Cambodia
040490 - Other,,12.50,0.00,5,2,4,,Cambodia
040510 - Butter,,,0.00,3,3,2,,Cambodia
040520 - Dairy spreads,,8.80,0.00,8,5,6,,Cambodia
040590 - Other,,10.00,0.00,3,1,2,,Cambodia
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.42,0.00,21,9,12,,Cambodia
"040620 - Grated or powdered cheese, of all kinds",,12.49,0.68,38,13,24,,Cambodia
"040630 - Processed cheese, not grated or powdered",,12.04,0.74,36,13,22,,Cambodia
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,3.73,9,1,6,,Cambodia
040690 - Other cheese,,11.22,0.00,50,15,33,,Cambodia
040711 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Cambodia
040719 - - Other,,,0.00,1,1,1,,Cambodia
040721 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Cambodia
040729 - - Other,,,0.00,1,1,1,,Cambodia
040790 - Others,,,0.00,1,1,1,,Cambodia
040811 - - Dried,,,0.00,1,1,1,,Cambodia
040819 - - Other,,,0.00,1,1,1,,Cambodia
040891 - - Dried,,,0.00,1,1,1,,Cambodia
040899 - - Other,,,0.00,1,1,1,,Cambodia
040900 Natural honey.,,,0.00,1,1,1,,Cambodia
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Cambodia
,2016,"9,750",12.37,0.36,258,133,173,,Cambodia
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,1,1,1,,Cambodia
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %","9,750",,0.00,2,2,1,,Cambodia
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,0.00,3,3,2,,Cambodia
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,4,,Cambodia
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,0.00,3,3,2,,Cambodia
040221 -- Not containing added sugar or other sweetening matter,,,0.00,9,9,6,,Cambodia
040229 -- Other,,17.50,0.00,3,1,2,,Cambodia
040291 -- Not containing added sugar or other sweetening matter,,,0.00,6,6,4,,Cambodia
040299 -- Other,,17.50,0.00,9,7,6,,Cambodia
040310 - Yogurt,,19.00,0.00,4,1,3,,Cambodia
040390 - Other,,19.00,0.00,20,17,14,,Cambodia
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,0.00,8,5,6,,Cambodia
040490 - Other,,12.50,0.00,5,2,4,,Cambodia
040510 - Butter,,,0.00,3,3,2,,Cambodia
040520 - Dairy spreads,,8.80,0.00,8,5,6,,Cambodia
040590 - Other,,10.00,0.00,3,1,2,,Cambodia
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,0.00,21,9,12,,Cambodia
"040620 - Grated or powdered cheese, of all kinds",,12.93,0.68,38,13,24,,Cambodia
"040630 - Processed cheese, not grated or powdered",,12.54,0.74,36,13,22,,Cambodia
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,3.73,9,1,6,,Cambodia
040690 - Other cheese,,11.59,0.00,50,15,33,,Cambodia
040711 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Cambodia
040719 -- Other,,,0.00,1,1,1,,Cambodia
040721 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Cambodia
040729 -- Other,,,0.00,1,1,1,,Cambodia
040790 - Others,,,0.00,1,1,1,,Cambodia
040811 -- Dried,,,0.00,1,1,1,,Cambodia
040819 -- Other,,,0.00,1,1,1,,Cambodia
040891 -- Dried,,,0.00,1,1,1,,Cambodia
040899 -- Other,,,0.00,1,1,1,,Cambodia
040900 Natural honey.,,,0.00,1,1,1,,Cambodia
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Cambodia
,2015,,12.29,0.36,258,133,173,,Cambodia
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,1,1,1,,Cambodia
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,0.00,2,2,1,,Cambodia
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,0.00,3,3,2,,Cambodia
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,4,,Cambodia
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,0.00,3,3,2,,Cambodia
040221 -- Not containing added sugar or other sweetening matter,,,0.00,9,9,6,,Cambodia
040229 -- Other,,17.50,0.00,3,1,2,,Cambodia
040291 -- Not containing added sugar or other sweetening matter,,,0.00,6,6,4,,Cambodia
040299 -- Other,,17.50,0.00,9,7,6,,Cambodia
040310 - Yogurt,,19.00,0.00,4,1,3,,Cambodia
040390 - Other,,19.00,0.00,20,17,14,,Cambodia
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,0.00,8,5,6,,Cambodia
040490 - Other,,12.50,0.00,5,2,4,,Cambodia
040510 - Butter,,,0.00,3,3,2,,Cambodia
040520 - Dairy spreads,,8.80,0.00,8,5,6,,Cambodia
040590 - Other,,10.00,0.00,3,1,2,,Cambodia
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,0.00,21,9,12,,Cambodia
"040620 - Grated or powdered cheese, of all kinds",,12.93,0.68,38,13,24,,Cambodia
"040630 - Processed cheese, not grated or powdered",,12.54,0.74,36,13,22,,Cambodia
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,3.73,9,1,6,,Cambodia
