Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
Brazil,"86,258,595",,,,,,,"Korea, Republic of"
,2018,,1.36,1.36,25,,,,"Korea, Republic of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,"Korea, Republic of"
"880211 - - Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,"Korea, Republic of"
"880212 - - Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,"Korea, Republic of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,"Korea, Republic of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,"Korea, Republic of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,"Korea, Republic of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,"Korea, Republic of"
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880330 - Other parts of aeroplanes or helicopters,,0.00,0.00,1,,,,"Korea, Republic of"
880390 - Other,,0.00,0.00,1,,,,"Korea, Republic of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,"Korea, Republic of"
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880529 - - Other,,0.00,0.00,1,,,,"Korea, Republic of"
,2017,"10,361,384",1.36,1.36,25,,,,"Korea, Republic of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,"Korea, Republic of"
"880211 - - Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,"Korea, Republic of"
"880212 - - Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,"Korea, Republic of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,"Korea, Republic of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,"Korea, Republic of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,"Korea, Republic of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,"Korea, Republic of"
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880320 - Under-carriages and parts thereof,360,0.00,0.00,1,,,,"Korea, Republic of"
880330 - Other parts of aeroplanes or helicopters,"10,130,149",0.00,0.00,1,,,,"Korea, Republic of"
880390 - Other,"4,240",0.00,0.00,1,,,,"Korea, Republic of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"226,635",14.00,14.00,1,,,,"Korea, Republic of"
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880529 - - Other,,0.00,0.00,1,,,,"Korea, Republic of"
,2016,"9,677,305",1.36,1.36,25,,,,"Korea, Republic of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,"Korea, Republic of"
