Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
European Union,"30,715,980,549",,,,,,,"Korea, Republic of"
,2018,,5.48,0.00,210,,179,,"Korea, Republic of"
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,0.00,2,,2,,"Korea, Republic of"
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,0.00,2,,1,,"Korea, Republic of"
390130 - Ethylene-vinyl acetate copolymers,,6.50,0.00,1,,1,,"Korea, Republic of"
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,6.50,0.00,1,,1,,"Korea, Republic of"
390190 - Other,,3.25,0.00,2,,1,,"Korea, Republic of"
390210 - Polypropylene,,6.50,0.00,1,,1,,"Korea, Republic of"
390220 - Polyisobutylene,,6.50,0.00,1,,1,,"Korea, Republic of"
390230 - Propylene copolymers,,6.50,0.00,1,,1,,"Korea, Republic of"
390290 - Other,,2.17,0.00,3,,1,,"Korea, Republic of"
390311 - - Expansible,,6.50,0.00,1,,1,,"Korea, Republic of"
390319 - - Other,,6.50,0.00,1,,1,,"Korea, Republic of"
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,0.00,1,,1,,"Korea, Republic of"
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,0.00,1,,1,,"Korea, Republic of"
390390 - Other,,2.17,0.00,3,,1,,"Korea, Republic of"
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,0.00,1,,1,,"Korea, Republic of"
390421 - - Non-plasticised,,6.50,0.00,1,,1,,"Korea, Republic of"
390422 - - Plasticised,,6.50,0.00,1,,1,,"Korea, Republic of"
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,0.00,1,,1,,"Korea, Republic of"
390440 - Other vinyl chloride copolymers,,6.50,0.00,1,,1,,"Korea, Republic of"
390450 - Vinylidene chloride polymers,,3.25,0.00,2,,1,,"Korea, Republic of"
390461 - - Polytetrafluoroethylene,,6.50,0.00,1,,1,,"Korea, Republic of"
390469 - - Other,,4.33,0.00,3,,2,,"Korea, Republic of"
390490 - Other,,6.50,0.00,1,,1,,"Korea, Republic of"
390512 - - In aqueous dispersion,,6.50,0.00,1,,1,,"Korea, Republic of"
