Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
European Union,"3,999,222",,,,,,,Nepal
,2018,,0.00,0.00,55,,,,Nepal
300120 - Extracts of glands or other organs or of their secretions,,0.00,0.00,2,,,,Nepal
300190 - Other,,0.00,0.00,3,,,,Nepal
300211 - - Malaria diagnostic test kits,,0.00,0.00,1,,,,Nepal
300212 - - Antisera and other blood fractions,,0.00,0.00,1,,,,Nepal
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Nepal
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Nepal
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Nepal
300219 - - Other,,0.00,0.00,1,,,,Nepal
300220 - Vaccines for human medicine,,0.00,0.00,1,,,,Nepal
300230 - Vaccines for veterinary medicine,,0.00,0.00,1,,,,Nepal
300290 - Other,,0.00,0.00,4,,,,Nepal
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Nepal
"300320 - Other, containing antibiotics",,0.00,0.00,1,,,,Nepal
300331 - - Containing insulin,,0.00,0.00,1,,,,Nepal
300339 - - Other,,0.00,0.00,1,,,,Nepal
300341 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Nepal
300342 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Nepal
300343 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Nepal
300349 - - Other,,0.00,0.00,1,,,,Nepal
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Nepal
300390 - Other,,0.00,0.00,1,,,,Nepal
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Nepal
"300420 - Other, containing antibiotics",,0.00,0.00,1,,,,Nepal
300431 - - Containing insulin,,0.00,0.00,1,,,,Nepal
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,0.00,0.00,1,,,,Nepal
300439 - - Other,,0.00,0.00,1,,,,Nepal
300441 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Nepal
300442 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Nepal
300443 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Nepal
300449 - - Other,,0.00,0.00,1,,,,Nepal
"300450 - Other, containing vitamins or other products of heading 29.36",,0.00,0.00,1,,,,Nepal
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Nepal
300490 - Other,,0.00,0.00,1,,,,Nepal
300510 - Adhesive dressings and other articles having an adhesive layer,,0.00,0.00,1,,,,Nepal
300590 - Other,,0.00,0.00,4,,,,Nepal
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,0.00,0.00,3,,,,Nepal
300620 - Blood-grouping reagents,,0.00,0.00,1,,,,Nepal
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,0.00,0.00,1,,,,Nepal
300640 - Dental cements and other dental fillings; bone reconstruction cements,,0.00,0.00,1,,,,Nepal
300650 - First-aid boxes and kits,,0.00,0.00,1,,,,Nepal
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,1,,,,Nepal
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,0.00,0.00,1,,,,Nepal
300691 - - Appliances identifiable for ostomy use,,0.00,0.00,1,,,,Nepal
300692 - - Waste pharmaceuticals,,0.00,0.00,1,,,,Nepal
,2017,"87,866",0.00,0.00,55,,,,Nepal
300120 - Extracts of glands or other organs or of their secretions,,0.00,0.00,2,,,,Nepal
300190 - Other,,0.00,0.00,3,,,,Nepal
300211 - - Malaria diagnostic test kits,"16,066",0.00,0.00,1,,,,Nepal
300212 - - Antisera and other blood fractions,"7,751",0.00,0.00,1,,,,Nepal
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Nepal
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",1,0.00,0.00,1,,,,Nepal
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",18,0.00,0.00,1,,,,Nepal
300219 - - Other,"30,329",0.00,0.00,1,,,,Nepal
300220 - Vaccines for human medicine,,0.00,0.00,1,,,,Nepal
300230 - Vaccines for veterinary medicine,,0.00,0.00,1,,,,Nepal
300290 - Other,"33,640",0.00,0.00,4,,,,Nepal
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Nepal
"300320 - Other, containing antibiotics",,0.00,0.00,1,,,,Nepal
300331 - - Containing insulin,,0.00,0.00,1,,,,Nepal
300339 - - Other,,0.00,0.00,1,,,,Nepal
300341 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Nepal
300342 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Nepal
300343 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Nepal
300349 - - Other,,0.00,0.00,1,,,,Nepal
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Nepal
300390 - Other,3,0.00,0.00,1,,,,Nepal
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Nepal
"300420 - Other, containing antibiotics",,0.00,0.00,1,,,,Nepal
300431 - - Containing insulin,,0.00,0.00,1,,,,Nepal
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,0.00,0.00,1,,,,Nepal
300439 - - Other,8,0.00,0.00,1,,,,Nepal
300441 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Nepal
300442 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Nepal
300443 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Nepal
300449 - - Other,,0.00,0.00,1,,,,Nepal
"300450 - Other, containing vitamins or other products of heading 29.36",,0.00,0.00,1,,,,Nepal
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Nepal
300490 - Other,21,0.00,0.00,1,,,,Nepal
300510 - Adhesive dressings and other articles having an adhesive layer,5,0.00,0.00,1,,,,Nepal
300590 - Other,2,0.00,0.00,4,,,,Nepal
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",6,0.00,0.00,3,,,,Nepal
300620 - Blood-grouping reagents,,0.00,0.00,1,,,,Nepal
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,0.00,0.00,1,,,,Nepal
300640 - Dental cements and other dental fillings; bone reconstruction cements,,0.00,0.00,1,,,,Nepal
300650 - First-aid boxes and kits,,0.00,0.00,1,,,,Nepal
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,1,,,,Nepal
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,0.00,0.00,1,,,,Nepal
300691 - - Appliances identifiable for ostomy use,16,0.00,0.00,1,,,,Nepal
300692 - - Waste pharmaceuticals,,0.00,0.00,1,,,,Nepal
,2016,"193,797",0.00,0.00,50,,,,Nepal
300120 - Extracts of glands or other organs or of their secretions,"1,295",0.00,0.00,2,,,,Nepal
300190 - Other,,0.00,0.00,3,,,,Nepal
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","187,025",0.00,0.00,3,,,,Nepal
300220 - Vaccines for human medicine,,0.00,0.00,1,,,,Nepal
300230 - Vaccines for veterinary medicine,,0.00,0.00,1,,,,Nepal
300290 - Other,,0.00,0.00,4,,,,Nepal
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Nepal
300320 - Containing other antibiotics,,0.00,0.00,1,,,,Nepal
300331 -- Containing insulin,,0.00,0.00,1,,,,Nepal
300339 -- Other,,0.00,0.00,1,,,,Nepal
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,0.00,0.00,4,,,,Nepal
300390 - Other,,0.00,0.00,1,,,,Nepal
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Nepal
300420 - Containing other antibiotics,,0.00,0.00,1,,,,Nepal
300431 -- Containing insulin,,0.00,0.00,1,,,,Nepal
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues",,0.00,0.00,1,,,,Nepal
300439 -- Other,,0.00,0.00,1,,,,Nepal
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics",,0.00,0.00,4,,,,Nepal
300450 - Other medicaments containing vitamins or other products of heading 29.36,,0.00,0.00,1,,,,Nepal
300490 - Other,"5,477",0.00,0.00,1,,,,Nepal
300510 - Adhesive dressings and other articles having an adhesive layer,,0.00,0.00,1,,,,Nepal
300590 - Other,,0.00,0.00,4,,,,Nepal
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,0.00,0.00,3,,,,Nepal
300620 - Blood-grouping reagents,,0.00,0.00,1,,,,Nepal
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,0.00,0.00,1,,,,Nepal
300640 - Dental cements and other dental fillings; bone reconstruction cements,,0.00,0.00,1,,,,Nepal
300650 - First-aid boxes and kits,,0.00,0.00,1,,,,Nepal
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,1,,,,Nepal
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,0.00,0.00,1,,,,Nepal
300691 -- Appliances identifiable for ostomy use,,0.00,0.00,1,,,,Nepal
300692 -- Waste pharmaceuticals,,0.00,0.00,1,,,,Nepal
,2015,"266,032",0.00,0.00,50,,,,Nepal
300120 - Extracts of glands or other organs or of their secretions,,0.00,0.00,2,,,,Nepal
300190 - Other,,0.00,0.00,3,,,,Nepal
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","204,594",0.00,0.00,3,,,,Nepal
300220 - Vaccines for human medicine,,0.00,0.00,1,,,,Nepal
300230 - Vaccines for veterinary medicine,"41,055",0.00,0.00,1,,,,Nepal
300290 - Other,11,0.00,0.00,4,,,,Nepal
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Nepal
300320 - Containing other antibiotics,,0.00,0.00,1,,,,Nepal
300331 -- Containing insulin,,0.00,0.00,1,,,,Nepal
300339 -- Other,,0.00,0.00,1,,,,Nepal
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,0.00,0.00,4,,,,Nepal
300390 - Other,,0.00,0.00,1,,,,Nepal
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Nepal
