Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
European Union,"7,871,002",,,,,,,Nepal
,2018,,2.14,0.00,63,,41,,Nepal
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,1.98,0.00,19,,8,,Nepal
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Nepal
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,Nepal
950440 - Playing cards,,2.70,0.00,1,,1,,Nepal
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Nepal
950490 - Other,,0.00,0.00,2,,,,Nepal
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,Nepal
950590 - Other,,2.70,0.00,1,,1,,Nepal
950611 - - Skis,,3.70,0.00,4,,4,,Nepal
950612 - - Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Nepal
950619 - - Other,,2.70,0.00,1,,1,,Nepal
950621 - - Sailboards,,2.70,0.00,1,,1,,Nepal
950629 - - Other,,2.70,0.00,1,,1,,Nepal
"950631 - - Clubs, complete",,2.70,0.00,1,,1,,Nepal
950632 - - Balls,,2.70,0.00,1,,1,,Nepal
950639 - - Other,,2.70,0.00,2,,2,,Nepal
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Nepal
"950651 - - Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Nepal
950659 - - Other,,2.70,0.00,1,,1,,Nepal
950661 - - Lawn-tennis balls,,2.70,0.00,1,,1,,Nepal
950662 - - Inflatable,,2.70,0.00,1,,1,,Nepal
950669 - - Other,,1.35,0.00,2,,1,,Nepal
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Nepal
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,Nepal
950699 - - Other,,1.35,0.00,2,,1,,Nepal
950710 - Fishing rods,,3.70,0.00,1,,1,,Nepal
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Nepal
950730 - Fishing reels,,3.70,0.00,1,,1,,Nepal
950790 - Other,,3.70,0.00,1,,1,,Nepal
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Nepal
950890 - Other,,1.70,0.00,1,,1,,Nepal
,2017,"408,692",2.14,0.00,63,,41,,Nepal
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","67,345",1.98,0.00,19,,8,,Nepal
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Nepal
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",1,0.00,0.00,3,,,,Nepal
950440 - Playing cards,114,2.70,0.00,1,,1,,Nepal
"950450 - Video game consoles and machines, other than those of subheading 9504.30",16,0.00,0.00,1,,,,Nepal
950490 - Other,109,0.00,0.00,2,,,,Nepal
950510 - Articles for Christmas festivities,"270,360",1.35,0.00,2,,1,,Nepal
950590 - Other,"62,224",2.70,0.00,1,,1,,Nepal
950611 - - Skis,,3.70,0.00,4,,4,,Nepal
950612 - - Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Nepal
950619 - - Other,,2.70,0.00,1,,1,,Nepal
950621 - - Sailboards,,2.70,0.00,1,,1,,Nepal
950629 - - Other,,2.70,0.00,1,,1,,Nepal
"950631 - - Clubs, complete",1,2.70,0.00,1,,1,,Nepal
950632 - - Balls,5,2.70,0.00,1,,1,,Nepal
950639 - - Other,,2.70,0.00,2,,2,,Nepal
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Nepal
"950651 - - Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Nepal
950659 - - Other,,2.70,0.00,1,,1,,Nepal
950661 - - Lawn-tennis balls,,2.70,0.00,1,,1,,Nepal
950662 - - Inflatable,,2.70,0.00,1,,1,,Nepal
950669 - - Other,"1,023",1.35,0.00,2,,1,,Nepal
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Nepal
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics","6,545",2.70,0.00,2,,2,,Nepal
950699 - - Other,702,1.35,0.00,2,,1,,Nepal
950710 - Fishing rods,,3.70,0.00,1,,1,,Nepal
"950720 - Fish-hooks, whether or not snelled",243,2.70,0.00,2,,2,,Nepal
950730 - Fishing reels,3,3.70,0.00,1,,1,,Nepal
950790 - Other,,3.70,0.00,1,,1,,Nepal
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Nepal
950890 - Other,,1.70,0.00,1,,1,,Nepal
,2016,"352,638",2.17,0.00,62,,41,,Nepal
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","121,690",2.09,0.00,18,,8,,Nepal
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Nepal
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",11,0.00,0.00,3,,,,Nepal
950440 - Playing cards,6,2.70,0.00,1,,1,,Nepal
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Nepal
950490 - Other,272,0.00,0.00,2,,,,Nepal
950510 - Articles for Christmas festivities,"110,201",1.35,0.00,2,,1,,Nepal
950590 - Other,"99,934",2.70,0.00,1,,1,,Nepal
950611 -- Skis,499,3.70,0.00,4,,4,,Nepal
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Nepal
950619 -- Other,,2.70,0.00,1,,1,,Nepal
950621 -- Sailboards,,2.70,0.00,1,,1,,Nepal
950629 -- Other,,2.70,0.00,1,,1,,Nepal
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Nepal
950632 -- Balls,,2.70,0.00,1,,1,,Nepal
950639 -- Other,915,2.70,0.00,2,,2,,Nepal
