Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
United States of America,"77,586",,,,,,,Nepal
,2018,,12.38,0.36,258,133,173,,Nepal
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,1,1,1,,Nepal
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,0.00,2,2,1,,Nepal
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,0.00,3,3,2,,Nepal
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,4,,Nepal
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,0.00,3,3,2,,Nepal
040221 - - Not containing added sugar or other sweetening matter,,,0.00,9,9,6,,Nepal
040229 - - Other,,17.50,0.00,3,1,2,,Nepal
040291 - - Not containing added sugar or other sweetening matter,,,0.00,6,6,4,,Nepal
040299 - - Other,,17.50,0.00,9,7,6,,Nepal
040310 - Yogurt,,19.00,0.00,4,1,3,,Nepal
040390 - Other,,19.00,0.00,20,17,14,,Nepal
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,0.00,8,5,6,,Nepal
040490 - Other,,12.50,0.00,5,2,4,,Nepal
040510 - Butter,,,0.00,3,3,2,,Nepal
040520 - Dairy spreads,,8.80,0.00,8,5,6,,Nepal
040590 - Other,,10.00,0.00,3,1,2,,Nepal
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,0.00,21,9,12,,Nepal
"040620 - Grated or powdered cheese, of all kinds",,12.93,0.68,38,13,24,,Nepal
"040630 - Processed cheese, not grated or powdered",,12.54,0.74,36,13,22,,Nepal
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,3.73,9,1,6,,Nepal
040690 - Other cheese,,11.61,0.00,50,15,33,,Nepal
040711 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Nepal
040719 - - Other,,,0.00,1,1,1,,Nepal
040721 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Nepal
040729 - - Other,,,0.00,1,1,1,,Nepal
040790 - Others,,,0.00,1,1,1,,Nepal
040811 - - Dried,,,0.00,1,1,1,,Nepal
040819 - - Other,,,0.00,1,1,1,,Nepal
040891 - - Dried,,,0.00,1,1,1,,Nepal
040899 - - Other,,,0.00,1,1,1,,Nepal
040900 Natural honey.,,,0.00,1,1,1,,Nepal
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Nepal
,2017,"45,412",12.05,0.36,258,133,173,,Nepal
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,1,1,1,,Nepal
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,0.00,2,2,1,,Nepal
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,0.00,3,3,2,,Nepal
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,4,,Nepal
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,0.00,3,3,2,,Nepal
