Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
European Union,"288,552,956",,,,,,,Russian Federation
,2018,,2.14,2.14,63,,,,Russian Federation
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,1.98,1.98,19,,,,Russian Federation
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Russian Federation
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,Russian Federation
950440 - Playing cards,,2.70,2.70,1,,,,Russian Federation
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Russian Federation
950490 - Other,,0.00,0.00,2,,,,Russian Federation
950510 - Articles for Christmas festivities,,1.35,1.35,2,,,,Russian Federation
950590 - Other,,2.70,2.70,1,,,,Russian Federation
950611 - - Skis,,3.70,3.70,4,,,,Russian Federation
950612 - - Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,Russian Federation
950619 - - Other,,2.70,2.70,1,,,,Russian Federation
950621 - - Sailboards,,2.70,2.70,1,,,,Russian Federation
950629 - - Other,,2.70,2.70,1,,,,Russian Federation
"950631 - - Clubs, complete",,2.70,2.70,1,,,,Russian Federation
950632 - - Balls,,2.70,2.70,1,,,,Russian Federation
950639 - - Other,,2.70,2.70,2,,,,Russian Federation
950640 - Articles and equipment for table-tennis,,2.70,2.70,1,,,,Russian Federation
"950651 - - Lawn-tennis rackets, whether or not strung",,4.70,4.70,1,,,,Russian Federation
950659 - - Other,,2.70,2.70,1,,,,Russian Federation
950661 - - Lawn-tennis balls,,2.70,2.70,1,,,,Russian Federation
950662 - - Inflatable,,2.70,2.70,1,,,,Russian Federation
950669 - - Other,,1.35,1.35,2,,,,Russian Federation
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,1.80,3,,,,Russian Federation
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,2.70,2,,,,Russian Federation
950699 - - Other,,1.35,1.35,2,,,,Russian Federation
950710 - Fishing rods,,3.70,3.70,1,,,,Russian Federation
"950720 - Fish-hooks, whether or not snelled",,2.70,2.70,2,,,,Russian Federation
950730 - Fishing reels,,3.70,3.70,1,,,,Russian Federation
950790 - Other,,3.70,3.70,1,,,,Russian Federation
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,Russian Federation
950890 - Other,,1.70,1.70,1,,,,Russian Federation
,2017,"13,845,625",2.14,2.14,63,,,,Russian Federation
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","2,786,946",1.98,1.98,19,,,,Russian Federation
950420 - Articles and accessories for billiards of all kinds,"7,881",0.00,0.00,1,,,,Russian Federation
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","1,241,574",0.00,0.00,3,,,,Russian Federation
950440 - Playing cards,"35,468",2.70,2.70,1,,,,Russian Federation
"950450 - Video game consoles and machines, other than those of subheading 9504.30","343,721",0.00,0.00,1,,,,Russian Federation
950490 - Other,"890,902",0.00,0.00,2,,,,Russian Federation
950510 - Articles for Christmas festivities,"58,649",1.35,1.35,2,,,,Russian Federation
950590 - Other,"84,009",2.70,2.70,1,,,,Russian Federation
950611 - - Skis,"471,875",3.70,3.70,4,,,,Russian Federation
950612 - - Ski-fastenings (ski-bindings),"240,348",3.70,3.70,1,,,,Russian Federation
950619 - - Other,"254,104",2.70,2.70,1,,,,Russian Federation
950621 - - Sailboards,68,2.70,2.70,1,,,,Russian Federation
950629 - - Other,"40,969",2.70,2.70,1,,,,Russian Federation
"950631 - - Clubs, complete",519,2.70,2.70,1,,,,Russian Federation
950632 - - Balls,"1,438",2.70,2.70,1,,,,Russian Federation
950639 - - Other,,2.70,2.70,2,,,,Russian Federation
950640 - Articles and equipment for table-tennis,"1,134",2.70,2.70,1,,,,Russian Federation
"950651 - - Lawn-tennis rackets, whether or not strung",28,4.70,4.70,1,,,,Russian Federation
950659 - - Other,"1,716",2.70,2.70,1,,,,Russian Federation
950661 - - Lawn-tennis balls,525,2.70,2.70,1,,,,Russian Federation
950662 - - Inflatable,"5,160",2.70,2.70,1,,,,Russian Federation
950669 - - Other,"1,038",1.35,1.35,2,,,,Russian Federation
"950670 - Ice skates and roller skates, including skating boots with skates attached","2,386",1.80,1.80,3,,,,Russian Federation
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics","1,904,338",2.70,2.70,2,,,,Russian Federation
950699 - - Other,"3,609,138",1.35,1.35,2,,,,Russian Federation
950710 - Fishing rods,"78,248",3.70,3.70,1,,,,Russian Federation
"950720 - Fish-hooks, whether or not snelled","25,930",2.70,2.70,2,,,,Russian Federation
950730 - Fishing reels,"92,235",3.70,3.70,1,,,,Russian Federation
950790 - Other,"166,763",3.70,3.70,1,,,,Russian Federation
950810 - Travelling circuses and travelling menageries,"19,055",1.70,1.70,1,,,,Russian Federation
950890 - Other,"1,479,460",1.70,1.70,1,,,,Russian Federation
,2016,"13,176,895",2.17,2.17,62,,,,Russian Federation
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","2,646,430",2.09,2.09,18,,,,Russian Federation
950420 - Articles and accessories for billiards of all kinds,"9,465",0.00,0.00,1,,,,Russian Federation
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","1,480,926",0.00,0.00,3,,,,Russian Federation
950440 - Playing cards,"70,117",2.70,2.70,1,,,,Russian Federation
"950450 -Video game consoles and machines, other than those of subheading 9504.30","456,671",0.00,0.00,1,,,,Russian Federation
950490 - Other,"737,630",0.00,0.00,2,,,,Russian Federation
950510 - Articles for Christmas festivities,"94,647",1.35,1.35,2,,,,Russian Federation
950590 - Other,"87,849",2.70,2.70,1,,,,Russian Federation
950611 -- Skis,"186,941",3.70,3.70,4,,,,Russian Federation
950612 -- Ski-fastenings (ski-bindings),"4,234",3.70,3.70,1,,,,Russian Federation
950619 -- Other,"159,695",2.70,2.70,1,,,,Russian Federation
950621 -- Sailboards,,2.70,2.70,1,,,,Russian Federation
950629 -- Other,"36,746",2.70,2.70,1,,,,Russian Federation
"950631 -- Clubs, complete",269,2.70,2.70,1,,,,Russian Federation
950632 -- Balls,,2.70,2.70,1,,,,Russian Federation
950639 -- Other,,2.70,2.70,2,,,,Russian Federation
950640 - Articles and equipment for table-tennis,"3,546",2.70,2.70,1,,,,Russian Federation
"950651 -- Lawn-tennis rackets, whether or not strung",282,4.70,4.70,1,,,,Russian Federation
950659 -- Other,564,2.70,2.70,1,,,,Russian Federation
950661 -- Lawn-tennis balls,189,2.70,2.70,1,,,,Russian Federation
950662 -- Inflatable,"185,016",2.70,2.70,1,,,,Russian Federation
950669 -- Other,476,1.35,1.35,2,,,,Russian Federation
"950670 - Ice skates and roller skates, including skating boots with skates attached","4,031",1.80,1.80,3,,,,Russian Federation
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","1,750,106",2.70,2.70,2,,,,Russian Federation
950699 -- Other,"3,940,367",1.35,1.35,2,,,,Russian Federation
950710 - Fishing rods,"45,181",3.70,3.70,1,,,,Russian Federation
"950720 - Fish-hooks, whether or not snelled","11,708",2.70,2.70,2,,,,Russian Federation
950730 - Fishing reels,"11,753",3.70,3.70,1,,,,Russian Federation
950790 - Other,"129,984",3.70,3.70,1,,,,Russian Federation
950810 - Travelling circuses and travelling menageries,"5,246",1.70,1.70,1,,,,Russian Federation
950890 - Other,"1,116,826",1.70,1.70,1,,,,Russian Federation
,2015,"17,221,600",2.17,2.17,62,,,,Russian Federation
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","1,716,490",2.09,2.09,18,,,,Russian Federation
950420 - Articles and accessories for billiards of all kinds,"45,004",0.00,0.00,1,,,,Russian Federation
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","8,367,730",0.00,0.00,3,,,,Russian Federation
950440 - Playing cards,"28,358",2.70,2.70,1,,,,Russian Federation
"950450 -Video game consoles and machines, other than those of subheading 9504.30","316,206",0.00,0.00,1,,,,Russian Federation
950490 - Other,"664,770",0.00,0.00,2,,,,Russian Federation
950510 - Articles for Christmas festivities,"82,120",1.35,1.35,2,,,,Russian Federation
950590 - Other,"59,966",2.70,2.70,1,,,,Russian Federation
950611 -- Skis,"516,635",3.70,3.70,4,,,,Russian Federation
950612 -- Ski-fastenings (ski-bindings),"18,809",3.70,3.70,1,,,,Russian Federation
950619 -- Other,"186,670",2.70,2.70,1,,,,Russian Federation
950621 -- Sailboards,,2.70,2.70,1,,,,Russian Federation
950629 -- Other,"10,766",2.70,2.70,1,,,,Russian Federation
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Russian Federation
950632 -- Balls,,2.70,2.70,1,,,,Russian Federation
950639 -- Other,,2.70,2.70,2,,,,Russian Federation
950640 - Articles and equipment for table-tennis,679,2.70,2.70,1,,,,Russian Federation
"950651 -- Lawn-tennis rackets, whether or not strung",247,4.70,4.70,1,,,,Russian Federation
950659 -- Other,350,2.70,2.70,1,,,,Russian Federation
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Russian Federation
950662 -- Inflatable,45,2.70,2.70,1,,,,Russian Federation
950669 -- Other,388,1.35,1.35,2,,,,Russian Federation
"950670 - Ice skates and roller skates, including skating boots with skates attached","103,850",1.80,1.80,3,,,,Russian Federation
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","1,205,249",2.70,2.70,2,,,,Russian Federation
950699 -- Other,"3,083,719",1.35,1.35,2,,,,Russian Federation
950710 - Fishing rods,"33,144",3.70,3.70,1,,,,Russian Federation
"950720 - Fish-hooks, whether or not snelled","29,442",2.70,2.70,2,,,,Russian Federation
950730 - Fishing reels,"30,904",3.70,3.70,1,,,,Russian Federation
950790 - Other,"74,500",3.70,3.70,1,,,,Russian Federation
950810 - Travelling circuses and travelling menageries,"8,063",1.70,1.70,1,,,,Russian Federation
950890 - Other,"637,493",1.70,1.70,1,,,,Russian Federation
,2014,"28,461,843",2.17,2.17,62,,,,Russian Federation
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","2,338,737",2.09,2.09,18,,,,Russian Federation
950420 - Articles and accessories for billiards of all kinds,"3,647",0.00,0.00,1,,,,Russian Federation
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","16,578,298",0.00,0.00,3,,,,Russian Federation
950440 - Playing cards,"5,084",2.70,2.70,1,,,,Russian Federation
"950450 -Video game consoles and machines, other than those of subheading 9504.30","419,239",0.00,0.00,1,,,,Russian Federation
950490 - Other,"488,761",0.00,0.00,2,,,,Russian Federation
950510 - Articles for Christmas festivities,"121,133",1.35,1.35,2,,,,Russian Federation
950590 - Other,"70,081",2.70,2.70,1,,,,Russian Federation
950611 -- Skis,"616,836",3.70,3.70,4,,,,Russian Federation
950612 -- Ski-fastenings (ski-bindings),"20,762",3.70,3.70,1,,,,Russian Federation
950619 -- Other,"224,101",2.70,2.70,1,,,,Russian Federation
950621 -- Sailboards,,2.70,2.70,1,,,,Russian Federation
950629 -- Other,"2,346,761",2.70,2.70,1,,,,Russian Federation
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Russian Federation
950632 -- Balls,463,2.70,2.70,1,,,,Russian Federation
950639 -- Other,470,2.70,2.70,2,,,,Russian Federation
950640 - Articles and equipment for table-tennis,"2,027",2.70,2.70,1,,,,Russian Federation
"950651 -- Lawn-tennis rackets, whether or not strung",375,4.70,4.70,1,,,,Russian Federation
950659 -- Other,,2.70,2.70,1,,,,Russian Federation
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Russian Federation
950662 -- Inflatable,"99,022",2.70,2.70,1,,,,Russian Federation
950669 -- Other,348,1.35,1.35,2,,,,Russian Federation
"950670 - Ice skates and roller skates, including skating boots with skates attached","12,546",1.80,1.80,3,,,,Russian Federation
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","1,555,017",2.70,2.70,2,,,,Russian Federation
950699 -- Other,"2,807,939",1.35,1.35,2,,,,Russian Federation
950710 - Fishing rods,"25,582",3.70,3.70,1,,,,Russian Federation
"950720 - Fish-hooks, whether or not snelled","27,978",2.70,2.70,2,,,,Russian Federation
950730 - Fishing reels,"2,602",3.70,3.70,1,,,,Russian Federation
950790 - Other,"91,458",3.70,3.70,1,,,,Russian Federation
950810 - Travelling circuses and travelling menageries,"6,521",1.70,1.70,1,,,,Russian Federation
950890 - Other,"596,055",1.70,1.70,1,,,,Russian Federation
