Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
European Union,"28,694,533",,,,,,,"Saudi Arabia, Kingdom of"
,2018,,11.60,11.60,147,,,,"Saudi Arabia, Kingdom of"
610120 - Of cotton,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610130 - Of man-made fibres,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610190 - Of other textile materials,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610210 - Of wool or fine animal hair,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610220 - Of cotton,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610230 - Of man-made fibres,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610290 - Of other textile materials,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610310 - Suits,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610322 - - Of cotton,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610323 - - Of synthetic fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610329 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610331 - - Of wool or fine animal hair,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610332 - - Of cotton,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610333 - - Of synthetic fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610339 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610341 - - Of wool or fine animal hair,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610342 - - Of cotton,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610343 - - Of synthetic fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610349 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610413 - - Of synthetic fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610419 - - Of other textile materials,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610422 - - Of cotton,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610423 - - Of synthetic fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610429 - - Of other textile materials,,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610431 - - Of wool or fine animal hair,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610432 - - Of cotton,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610433 - - Of synthetic fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610439 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610441 - - Of wool or fine animal hair,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610442 - - Of cotton,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610443 - - Of synthetic fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610444 - - Of artificial fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610449 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610451 - - Of wool or fine animal hair,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610452 - - Of cotton,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610453 - - Of synthetic fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610459 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610461 - - Of wool or fine animal hair,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610462 - - Of cotton,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610463 - - Of synthetic fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610469 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
