Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
India,"997,281,496",,,,,,,"Saudi Arabia, Kingdom of"
,2018,,7.90,7.90,20,,,,"Saudi Arabia, Kingdom of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,"Saudi Arabia, Kingdom of"
"880211 - - Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
"880212 - - Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880310 - Propellers and rotors and parts thereof,,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
880320 - Under-carriages and parts thereof,,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
880330 - Other parts of aeroplanes or helicopters,,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
880390 - Other,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,"Saudi Arabia, Kingdom of"
880521 - - Air combat simulators and parts thereof,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880529 - - Other,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
,2017,,7.83,7.83,20,,,,"Saudi Arabia, Kingdom of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,"Saudi Arabia, Kingdom of"
"880211 - - Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
"880212 - - Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880310 - Propellers and rotors and parts thereof,,2.50,2.50,1,,,,"Saudi Arabia, Kingdom of"
880320 - Under-carriages and parts thereof,,2.50,2.50,1,,,,"Saudi Arabia, Kingdom of"
880330 - Other parts of aeroplanes or helicopters,,2.50,2.50,1,,,,"Saudi Arabia, Kingdom of"
880390 - Other,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,"Saudi Arabia, Kingdom of"
880521 - - Air combat simulators and parts thereof,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880529 - - Other,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
,2016,"89,628,394",7.83,7.83,20,,,,"Saudi Arabia, Kingdom of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,"Saudi Arabia, Kingdom of"
"880211 -- Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
"880212 -- Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","89,336,050",3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880310 - Propellers and rotors and parts thereof,,2.50,2.50,1,,,,"Saudi Arabia, Kingdom of"
880320 - Under-carriages and parts thereof,,2.50,2.50,1,,,,"Saudi Arabia, Kingdom of"
880330 - Other parts of aeroplanes or helicopters,"292,221",2.50,2.50,1,,,,"Saudi Arabia, Kingdom of"
880390 - Other,123,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,"Saudi Arabia, Kingdom of"
880521 -- Air combat simulators and parts thereof,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880529 -- Other,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
,2015,"808,346,511",7.83,7.83,20,,,,"Saudi Arabia, Kingdom of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,"Saudi Arabia, Kingdom of"
"880211 -- Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
"880212 -- Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","806,842,403",3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880310 - Propellers and rotors and parts thereof,,2.50,2.50,1,,,,"Saudi Arabia, Kingdom of"
880320 - Under-carriages and parts thereof,,2.50,2.50,1,,,,"Saudi Arabia, Kingdom of"
880330 - Other parts of aeroplanes or helicopters,"1,407,328",2.50,2.50,1,,,,"Saudi Arabia, Kingdom of"
880390 - Other,"51,110",10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,"Saudi Arabia, Kingdom of"
880521 -- Air combat simulators and parts thereof,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880529 -- Other,"45,670",10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
,2014,"65,327",7.83,7.83,20,,,,"Saudi Arabia, Kingdom of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,"Saudi Arabia, Kingdom of"
"880211 -- Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
"880212 -- Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880310 - Propellers and rotors and parts thereof,,2.50,2.50,1,,,,"Saudi Arabia, Kingdom of"
880320 - Under-carriages and parts thereof,"7,945",2.50,2.50,1,,,,"Saudi Arabia, Kingdom of"
880330 - Other parts of aeroplanes or helicopters,"57,382",2.50,2.50,1,,,,"Saudi Arabia, Kingdom of"
880390 - Other,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
