Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
United States of America,"1,931,476",,,,,,,"Saudi Arabia, Kingdom of"
,2018,,12.38,12.38,258,133,,,"Saudi Arabia, Kingdom of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,"Saudi Arabia, Kingdom of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,"Saudi Arabia, Kingdom of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,"Saudi Arabia, Kingdom of"
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,"Saudi Arabia, Kingdom of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,"Saudi Arabia, Kingdom of"
040221 - - Not containing added sugar or other sweetening matter,,,,9,9,,,"Saudi Arabia, Kingdom of"
040229 - - Other,,17.50,17.50,3,1,,,"Saudi Arabia, Kingdom of"
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,"Saudi Arabia, Kingdom of"
040299 - - Other,,17.50,17.50,9,7,,,"Saudi Arabia, Kingdom of"
040310 - Yogurt,,19.00,19.00,4,1,,,"Saudi Arabia, Kingdom of"
040390 - Other,,19.00,19.00,20,17,,,"Saudi Arabia, Kingdom of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,11.50,8,5,,,"Saudi Arabia, Kingdom of"
040490 - Other,,12.50,12.50,5,2,,,"Saudi Arabia, Kingdom of"
040510 - Butter,,,,3,3,,,"Saudi Arabia, Kingdom of"
040520 - Dairy spreads,,8.80,8.80,8,5,,,"Saudi Arabia, Kingdom of"
040590 - Other,,10.00,10.00,3,1,,,"Saudi Arabia, Kingdom of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,9.88,21,9,,,"Saudi Arabia, Kingdom of"
"040620 - Grated or powdered cheese, of all kinds",,12.93,12.93,38,13,,,"Saudi Arabia, Kingdom of"
"040630 - Processed cheese, not grated or powdered",,12.54,12.54,36,13,,,"Saudi Arabia, Kingdom of"
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,"Saudi Arabia, Kingdom of"
040690 - Other cheese,,11.61,11.61,50,15,,,"Saudi Arabia, Kingdom of"
040711 - - Of fowls of the species Gallus domesticus,,,,1,1,,,"Saudi Arabia, Kingdom of"
040719 - - Other,,,,1,1,,,"Saudi Arabia, Kingdom of"
040721 - - Of fowls of the species Gallus domesticus,,,,1,1,,,"Saudi Arabia, Kingdom of"
040729 - - Other,,,,1,1,,,"Saudi Arabia, Kingdom of"
040790 - Others,,,,1,1,,,"Saudi Arabia, Kingdom of"
040811 - - Dried,,,,1,1,,,"Saudi Arabia, Kingdom of"
040819 - - Other,,,,1,1,,,"Saudi Arabia, Kingdom of"
040891 - - Dried,,,,1,1,,,"Saudi Arabia, Kingdom of"
040899 - - Other,,,,1,1,,,"Saudi Arabia, Kingdom of"
040900 Natural honey.,,,,1,1,,,"Saudi Arabia, Kingdom of"
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,1.10,1,,,,"Saudi Arabia, Kingdom of"
,2017,"734,933",12.05,12.05,258,133,,,"Saudi Arabia, Kingdom of"
"040110 - Of a fat content, by weight, not exceeding 1 %","37,980",,,1,1,,,"Saudi Arabia, Kingdom of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,"Saudi Arabia, Kingdom of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,"Saudi Arabia, Kingdom of"
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,"Saudi Arabia, Kingdom of"
