Importer,Year,Value,Ad val. duties,Number of lines,Ukraine
,(US$),Simple average,MFN duties,Pref. duties,Ukraine
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Ukraine
United States of America,"159,531,806",,,,,,,Ukraine
,2018,,12.38,11.30,258,133,13,,Ukraine
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Ukraine
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Ukraine
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Ukraine
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Ukraine
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Ukraine
040221 - - Not containing added sugar or other sweetening matter,,,,9,9,,,Ukraine
040229 - - Other,,17.50,17.50,3,1,,,Ukraine
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,Ukraine
040299 - - Other,,17.50,17.50,9,7,,,Ukraine
040310 - Yogurt,,19.00,19.00,4,1,,,Ukraine
040390 - Other,,19.00,19.00,20,17,,,Ukraine
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Ukraine
040490 - Other,,12.50,9.38,5,2,1,,Ukraine
040510 - Butter,,,,3,3,,,Ukraine
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Ukraine
040590 - Other,,10.00,10.00,3,1,,,Ukraine
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,8.21,21,9,2,,Ukraine
"040620 - Grated or powdered cheese, of all kinds",,12.93,12.33,38,13,1,,Ukraine
"040630 - Processed cheese, not grated or powdered",,12.54,12.54,36,13,,,Ukraine
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Ukraine
040690 - Other cheese,,11.61,11.18,50,15,1,,Ukraine
040711 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Ukraine
040719 - - Other,,,0.00,1,1,1,,Ukraine
040721 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Ukraine
040729 - - Other,,,0.00,1,1,1,,Ukraine
040790 - Others,,,0.00,1,1,1,,Ukraine
040811 - - Dried,,,,1,1,,,Ukraine
040819 - - Other,,,,1,1,,,Ukraine
040891 - - Dried,,,,1,1,,,Ukraine
040899 - - Other,,,,1,1,,,Ukraine
040900 Natural honey.,,,,1,1,,,Ukraine
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Ukraine
,2017,"38,504,175",12.05,10.99,258,133,13,,Ukraine
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Ukraine
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Ukraine
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Ukraine
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Ukraine
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Ukraine
040221 - - Not containing added sugar or other sweetening matter,,,,9,9,,,Ukraine
040229 - - Other,,17.50,17.50,3,1,,,Ukraine
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,Ukraine
040299 - - Other,"825,825",17.50,17.50,9,7,,,Ukraine
040310 - Yogurt,,19.00,19.00,4,1,,,Ukraine
040390 - Other,,19.00,19.00,20,17,,,Ukraine
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Ukraine
040490 - Other,,12.50,9.38,5,2,1,,Ukraine
040510 - Butter,"17,544",,,3,3,,,Ukraine
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Ukraine
040590 - Other,,10.00,10.00,3,1,,,Ukraine
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","2,550",9.42,7.76,21,9,2,,Ukraine
"040620 - Grated or powdered cheese, of all kinds",,12.49,11.90,38,13,1,,Ukraine
"040630 - Processed cheese, not grated or powdered",,12.04,12.04,36,13,,,Ukraine
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Ukraine
040690 - Other cheese,"203,143",11.22,10.79,50,15,1,,Ukraine
040711 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Ukraine
040719 - - Other,,,0.00,1,1,1,,Ukraine
040721 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Ukraine
040729 - - Other,,,0.00,1,1,1,,Ukraine
040790 - Others,,,0.00,1,1,1,,Ukraine
040811 - - Dried,,,,1,1,,,Ukraine
040819 - - Other,,,,1,1,,,Ukraine
040891 - - Dried,,,,1,1,,,Ukraine
040899 - - Other,,,,1,1,,,Ukraine
040900 Natural honey.,"37,455,113",,,1,1,,,Ukraine
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Ukraine
,2016,"23,569,376",12.37,11.30,258,133,13,,Ukraine
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Ukraine
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Ukraine
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Ukraine
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Ukraine
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Ukraine
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Ukraine
040229 -- Other,,17.50,17.50,3,1,,,Ukraine
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Ukraine
040299 -- Other,"685,998",17.50,17.50,9,7,,,Ukraine
040310 - Yogurt,,19.00,19.00,4,1,,,Ukraine
040390 - Other,,19.00,19.00,20,17,,,Ukraine
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Ukraine
040490 - Other,,12.50,9.38,5,2,1,,Ukraine
040510 - Butter,"11,314",,,3,3,,,Ukraine
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Ukraine
040590 - Other,,10.00,10.00,3,1,,,Ukraine
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","9,254",9.88,8.21,21,9,2,,Ukraine
"040620 - Grated or powdered cheese, of all kinds",,12.93,12.33,38,13,1,,Ukraine
"040630 - Processed cheese, not grated or powdered",,12.54,12.54,36,13,,,Ukraine
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Ukraine
040690 - Other cheese,"133,939",11.59,11.16,50,15,1,,Ukraine
040711 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Ukraine
040719 -- Other,,,0.00,1,1,1,,Ukraine
040721 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Ukraine
040729 -- Other,,,0.00,1,1,1,,Ukraine
040790 - Others,,,0.00,1,1,1,,Ukraine
040811 -- Dried,,,,1,1,,,Ukraine
040819 -- Other,,,,1,1,,,Ukraine
040891 -- Dried,,,,1,1,,,Ukraine
040899 -- Other,,,,1,1,,,Ukraine
040900 Natural honey.,"22,728,871",,,1,1,,,Ukraine
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Ukraine
,2015,"37,007,998",12.29,11.23,258,133,15,2,Ukraine
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Ukraine
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Ukraine
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Ukraine
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Ukraine
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Ukraine
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Ukraine
040229 -- Other,,17.50,17.50,3,1,,,Ukraine
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Ukraine
040299 -- Other,"278,729",17.50,17.50,9,7,,,Ukraine
040310 - Yogurt,,19.00,19.00,4,1,,,Ukraine
040390 - Other,,19.00,19.00,20,17,,,Ukraine
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Ukraine
040490 - Other,,12.50,9.38,5,2,1,,Ukraine
040510 - Butter,"6,958",,,3,3,,,Ukraine
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Ukraine
040590 - Other,,10.00,10.00,3,1,,,Ukraine
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","6,640",9.88,8.21,21,9,2,,Ukraine
"040620 - Grated or powdered cheese, of all kinds",,12.93,12.33,38,13,1,,Ukraine
"040630 - Processed cheese, not grated or powdered",,12.54,12.54,36,13,,,Ukraine
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Ukraine
040690 - Other cheese,"374,697",11.32,10.89,50,15,3,2,Ukraine
040711 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Ukraine
040719 -- Other,,,0.00,1,1,1,,Ukraine
040721 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Ukraine
040729 -- Other,,,0.00,1,1,1,,Ukraine
040790 - Others,,,0.00,1,1,1,,Ukraine
040811 -- Dried,,,,1,1,,,Ukraine
040819 -- Other,,,,1,1,,,Ukraine
040891 -- Dried,,,,1,1,,,Ukraine
040899 -- Other,,,,1,1,,,Ukraine
040900 Natural honey.,"36,340,974",,,1,1,,,Ukraine
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Ukraine
,2014,"27,857,259",12.33,11.28,258,133,13,,Ukraine
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Ukraine
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Ukraine
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Ukraine
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Ukraine
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Ukraine
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Ukraine
040229 -- Other,,17.50,17.50,3,1,,,Ukraine
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Ukraine
040299 -- Other,"358,985",17.50,17.50,9,7,,,Ukraine
040310 - Yogurt,,19.00,19.00,4,1,,,Ukraine
040390 - Other,,19.00,19.00,20,17,,,Ukraine
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Ukraine
040490 - Other,,12.50,9.38,5,2,1,,Ukraine
040510 - Butter,,,,3,3,,,Ukraine
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Ukraine
040590 - Other,,10.00,10.00,3,1,,,Ukraine
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","16,811",9.88,8.21,21,9,2,,Ukraine
"040620 - Grated or powdered cheese, of all kinds",,12.83,12.33,38,13,1,,Ukraine
"040630 - Processed cheese, not grated or powdered",,12.44,12.44,36,13,,,Ukraine
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Ukraine
040690 - Other cheese,"178,095",11.59,11.16,50,15,1,,Ukraine
040711 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Ukraine
040719 -- Other,,,0.00,1,1,1,,Ukraine
040721 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Ukraine
040729 -- Other,,,0.00,1,1,1,,Ukraine
040790 - Others,,,0.00,1,1,1,,Ukraine
040811 -- Dried,,,,1,1,,,Ukraine
040819 -- Other,,,,1,1,,,Ukraine
040891 -- Dried,,,,1,1,,,Ukraine
040899 -- Other,,,,1,1,,,Ukraine
040900 Natural honey.,"27,303,368",,,1,1,,,Ukraine
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Ukraine
,2013,"9,646,905",12.36,11.29,258,137,13,,Ukraine
