Importer,Year,Value,Ad val. duties,Number of lines,Ukraine
,(US$),Simple average,MFN duties,Pref. duties,Ukraine
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Ukraine
Yemen,0,,,,,,,Ukraine
,2016,,10.00,10.00,106,,,,Ukraine
610120 - Of cotton,,10.00,10.00,1,,,,Ukraine
610130 - Of man-made fibres,,10.00,10.00,1,,,,Ukraine
610190 - Of other textile materials,,10.00,10.00,1,,,,Ukraine
610210 - Of wool or fine animal hair,,10.00,10.00,1,,,,Ukraine
610220 - Of cotton,,10.00,10.00,1,,,,Ukraine
610230 - Of man-made fibres,,10.00,10.00,1,,,,Ukraine
610290 - Of other textile materials,,10.00,10.00,1,,,,Ukraine
610310 - Suits,,10.00,10.00,1,,,,Ukraine
610322 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
610329 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Ukraine
610332 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
610339 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Ukraine
610342 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
610349 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
610419 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610422 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
610429 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Ukraine
610432 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
610439 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610441 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Ukraine
610442 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610443 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
610444 -- Of artificial fibres,,10.00,10.00,1,,,,Ukraine
610449 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610451 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Ukraine
610452 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610453 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
610459 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610461 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Ukraine
610462 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610463 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
610469 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610510 - Of cotton,,10.00,10.00,1,,,,Ukraine
610520 - Of man-made fibres,,10.00,10.00,1,,,,Ukraine
610590 - Of other textile materials,,10.00,10.00,1,,,,Ukraine
610610 - Of cotton,,10.00,10.00,1,,,,Ukraine
610620 - Of man-made fibres,,10.00,10.00,1,,,,Ukraine
610690 - Of other textile materials,,10.00,10.00,1,,,,Ukraine
610711 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610712 -- Of man-made fibres,,10.00,10.00,1,,,,Ukraine
610719 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610721 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610722 -- Of man-made fibres,,10.00,10.00,1,,,,Ukraine
610729 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610791 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610799 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610811 -- Of man-made fibres,,10.00,10.00,1,,,,Ukraine
610819 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610821 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610822 -- Of man-made fibres,,10.00,10.00,1,,,,Ukraine
610829 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610831 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610832 -- Of man-made fibres,,10.00,10.00,1,,,,Ukraine
610839 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610891 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610892 -- Of man-made fibres,,10.00,10.00,1,,,,Ukraine
610899 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610910 - Of cotton,,10.00,10.00,1,,,,Ukraine
610990 - Of other textile materials,,10.00,10.00,1,,,,Ukraine
611011 -- Of wool,,10.00,10.00,1,,,,Ukraine
611012 -- Of Kashmir (cashmere) goats,,10.00,10.00,1,,,,Ukraine
611019 -- Other,,10.00,10.00,1,,,,Ukraine
611020 - Of cotton,,10.00,10.00,1,,,,Ukraine
611030 - Of man-made fibres,,10.00,10.00,1,,,,Ukraine
611090 - Of other textile materials,,10.00,10.00,1,,,,Ukraine
611120 - Of cotton,,10.00,10.00,1,,,,Ukraine
611130 - Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
611190 - Of other textile materials,,10.00,10.00,1,,,,Ukraine
611211 -- Of cotton,,10.00,10.00,1,,,,Ukraine
611212 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
611219 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
611220 - Ski suits,,10.00,10.00,1,,,,Ukraine
611231 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
611239 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
611241 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
611249 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,1,,,,Ukraine
611420 - Of cotton,,10.00,10.00,1,,,,Ukraine
611430 - Of man-made fibres,,10.00,10.00,1,,,,Ukraine
611490 - Of other textile materials,,10.00,10.00,1,,,,Ukraine
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,10.00,10.00,1,,,,Ukraine
"611521 -- Of synthetic fibres, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Ukraine
"611522 -- Of synthetic fibres, measuring per single yarn 67 decitex or more",,10.00,10.00,1,,,,Ukraine
611529 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Ukraine
611594 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Ukraine
611595 -- Of cotton,,10.00,10.00,1,,,,Ukraine
611596 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
611599 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
"611610 - Impregnated, coated or covered with plastics or rubber",,10.00,10.00,1,,,,Ukraine
611691 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Ukraine
611692 -- Of cotton,,10.00,10.00,1,,,,Ukraine
611693 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
611699 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,10.00,10.00,1,,,,Ukraine
611780 - Other accessories,,10.00,10.00,1,,,,Ukraine
611790 - Parts,,10.00,10.00,1,,,,Ukraine
,2015,,10.00,10.00,106,,,,Ukraine
610120 - Of cotton,,10.00,10.00,1,,,,Ukraine
610130 - Of man-made fibres,,10.00,10.00,1,,,,Ukraine
610190 - Of other textile materials,,10.00,10.00,1,,,,Ukraine
610210 - Of wool or fine animal hair,,10.00,10.00,1,,,,Ukraine
610220 - Of cotton,,10.00,10.00,1,,,,Ukraine
610230 - Of man-made fibres,,10.00,10.00,1,,,,Ukraine
610290 - Of other textile materials,,10.00,10.00,1,,,,Ukraine
610310 - Suits,,10.00,10.00,1,,,,Ukraine
610322 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
610329 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Ukraine
610332 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
610339 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Ukraine
610342 -- Of cotton,,10.00,10.00,1,,,,Ukraine
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,Ukraine
610349 -- Of other textile materials,,10.00,10.00,1,,,,Ukraine
