Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
Brazil,"318,115,301",,,,,,,United States of America
,2018,,16.70,16.70,23,,,,United States of America
170112 - - Beet sugar,,16.00,16.00,1,,,,United States of America
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,United States of America
170114 - - Other cane sugar,,16.00,16.00,1,,,,United States of America
170191 - - Containing added flavouring or colouring matter,,16.00,16.00,1,,,,United States of America
170199 - - Other,,16.00,16.00,1,,,,United States of America
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,United States of America
170219 - - Other,,16.00,16.00,1,,,,United States of America
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,United States of America
170250 - Chemically pure fructose,,16.00,16.00,1,,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,16.00,16.00,1,,,,United States of America
170310 - Cane molasses,,16.00,16.00,1,,,,United States of America
170390 - Other,,16.00,16.00,1,,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,United States of America
170490 - Other,,20.00,20.00,3,,,,United States of America
,2017,"17,458,492",16.70,16.70,23,,,,United States of America
170112 - - Beet sugar,,16.00,16.00,1,,,,United States of America
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,United States of America
170114 - - Other cane sugar,,16.00,16.00,1,,,,United States of America
170191 - - Containing added flavouring or colouring matter,"438,174",16.00,16.00,1,,,,United States of America
170199 - - Other,"373,541",16.00,16.00,1,,,,United States of America
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","3,077,616",16.00,16.00,1,,,,United States of America
170219 - - Other,"5,635,589",16.00,16.00,1,,,,United States of America
170220 - Maple sugar and maple syrup,"7,739",16.00,16.00,1,,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","1,156,548",16.00,16.00,3,,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","16,997",16.00,16.00,2,,,,United States of America
170250 - Chemically pure fructose,"3,941,826",16.00,16.00,1,,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",29,16.00,16.00,2,,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","891,956",16.00,16.00,1,,,,United States of America
170310 - Cane molasses,"21,706",16.00,16.00,1,,,,United States of America
170390 - Other,,16.00,16.00,1,,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","48,414",20.00,20.00,1,,,,United States of America
170490 - Other,"1,848,357",20.00,20.00,3,,,,United States of America
,2016,"15,082,511",16.70,16.70,23,,,,United States of America
170112 -- Beet sugar,,16.00,16.00,1,,,,United States of America
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,United States of America
170114 -- Other cane sugar,,16.00,16.00,1,,,,United States of America
170191 -- Containing added flavouring or colouring matter,"7,331",16.00,16.00,1,,,,United States of America
170199 -- Other,"397,364",16.00,16.00,1,,,,United States of America
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","3,819,240",16.00,16.00,1,,,,United States of America
170219 -- Other,"3,803,784",16.00,16.00,1,,,,United States of America
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","1,348,592",16.00,16.00,3,,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","19,591",16.00,16.00,2,,,,United States of America
170250 - Chemically pure fructose,"2,589,569",16.00,16.00,1,,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","7,033",16.00,16.00,2,,,,United States of America
