Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
European Union,"1,367,501,855",,,,,,,United States of America
,2018,,6.84,6.84,44,39,,,United States of America
170112 - - Beet sugar,,,,2,2,,,United States of America
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,United States of America
170114 - - Other cane sugar,,,,2,2,,,United States of America
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,United States of America
170199 - - Other,,,,2,2,,,United States of America
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,United States of America
170219 - - Other,,,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,United States of America
170250 - Chemically pure fructose,,,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,12.80,8,7,,,United States of America
170310 - Cane molasses,,0.00,0.00,1,,,,United States of America
170390 - Other,,0.00,0.00,1,,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,,,United States of America
170490 - Other,,13.40,13.40,10,9,,,United States of America
,2017,"78,538,523",6.84,6.84,44,39,,,United States of America
170112 - - Beet sugar,"43,741",,,2,2,,,United States of America
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,"125,087",,,2,2,,,United States of America
170114 - - Other cane sugar,"112,520",,,2,2,,,United States of America
170191 - - Containing added flavouring or colouring matter,"777,884",,,1,1,,,United States of America
170199 - - Other,"7,613,826",,,2,2,,,United States of America
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","7,665,660",,,1,1,,,United States of America
170219 - - Other,"347,027",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"2,060,443",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","2,857,659",,,3,3,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","169,797",,,2,2,,,United States of America
170250 - Chemically pure fructose,"171,210",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","591,038",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","3,925,726",12.80,12.80,8,7,,,United States of America
170310 - Cane molasses,"22,637,250",0.00,0.00,1,,,,United States of America
170390 - Other,"611,626",0.00,0.00,1,,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","1,202,951",,,2,2,,,United States of America
170490 - Other,"27,625,078",13.40,13.40,10,9,,,United States of America
,2016,"84,110,691",6.84,6.84,44,39,,,United States of America
170112 -- Beet sugar,"20,032",,,2,2,,,United States of America
