Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
European Union,"38,368,643,799",,,,,,,United States of America
,2018,,6.67,6.67,125,24,,,United States of America
080111 - - Desiccated,,0.00,0.00,1,,,,United States of America
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,United States of America
080119 - - Other,,0.00,0.00,1,,,,United States of America
080121 - - In shell,,0.00,0.00,1,,,,United States of America
080122 - - Shelled,,0.00,0.00,1,,,,United States of America
080131 - - In shell,,0.00,0.00,1,,,,United States of America
080132 - - Shelled,,0.00,0.00,1,,,,United States of America
080211 - - In shell,,2.80,2.80,2,,,,United States of America
080212 - - Shelled,,1.75,1.75,2,,,,United States of America
080221 - - In shell,,3.20,3.20,1,,,,United States of America
080222 - - Shelled,,3.20,3.20,1,,,,United States of America
080231 - - In shell,,4.00,4.00,1,,,,United States of America
080232 - - Shelled,,5.10,5.10,1,,,,United States of America
080241 - - In shell,,5.60,5.60,1,,,,United States of America
080242 - - Shelled,,5.60,5.60,1,,,,United States of America
080251 - - In shell,,1.60,1.60,1,,,,United States of America
080252 - - Shelled,,1.60,1.60,1,,,,United States of America
080261 - - In shell,,2.00,2.00,1,,,,United States of America
080262 - - Shelled,,2.00,2.00,1,,,,United States of America
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,United States of America
080280 - Areca nuts,,0.00,0.00,1,,,,United States of America
080290 - Other,,1.33,1.33,3,,,,United States of America
080310 - Plantains,,16.00,16.00,2,,,,United States of America
080390 - Other,,16.00,16.00,2,1,,,United States of America
080410 - Dates,,7.70,7.70,1,,,,United States of America
080420 - Figs,,6.80,6.80,2,,,,United States of America
080430 - Pineapples,,5.80,5.80,1,,,,United States of America
080440 - Avocados,,4.00,4.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,United States of America
080510 - Oranges,,16.00,16.00,4,3,,,United States of America
080521 - - Mandarins (including tangerines and satsumas),,,,2,2,,,United States of America
080522 - - Clementines,,,,1,1,,,United States of America
080529 - - Other,,,,1,1,,,United States of America
"080540 - Grapefruit, including pomelos",,1.50,1.50,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,12.80,2,1,,,United States of America
080590 - Other,,12.80,12.80,1,,,,United States of America
080610 - Fresh,,14.40,14.40,2,1,,,United States of America
080620 - Dried,,2.40,2.40,3,,,,United States of America
080711 - - Watermelons,,8.80,8.80,1,,,,United States of America
080719 - - Other,,8.80,8.80,1,,,,United States of America
080720 - Papaws (papayas),,0.00,0.00,1,,,,United States of America
080810 - Apples,,,,2,2,,,United States of America
080830 - Pears,,,,2,2,,,United States of America
080840 - Quinces,,7.20,7.20,1,,,,United States of America
080910 - Apricots,,,,1,1,,,United States of America
080921 - - Sour cherries (Prunus cerasus),,,,1,1,,,United States of America
080929 - - Other,,,,1,1,,,United States of America
"080930 - Peaches, including nectarines",,,,2,2,,,United States of America
080940 - Plums and sloes,,12.00,12.00,2,1,,,United States of America
081010 - Strawberries,,11.20,11.20,1,,,,United States of America
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,9.20,2,,,,United States of America
"081030 - Black, white or red currants and gooseberries",,9.07,9.07,3,,,,United States of America
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,4.00,4,,,,United States of America
081050 - Kiwifruit,,8.80,8.80,1,,,,United States of America
081060 - Durians,,8.80,8.80,1,,,,United States of America
081070 - Persimmons,,8.80,8.80,1,,,,United States of America
081090 - Other,,4.40,4.40,2,,,,United States of America
081110 - Strawberries,,17.60,17.60,3,1,,,United States of America
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,14.67,7,1,,,United States of America
081190 - Other,,10.75,10.75,10,2,,,United States of America
