Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
India,"33,060,289,917",,,,,,,United States of America
,2018,,7.90,7.90,20,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,United States of America
"880211 - - Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,United States of America
"880212 - - Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,,3.00,3.00,1,,,,United States of America
880320 - Under-carriages and parts thereof,,3.00,3.00,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,,3.00,3.00,1,,,,United States of America
880390 - Other,,10.00,10.00,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,United States of America
880521 - - Air combat simulators and parts thereof,,10.00,10.00,1,,,,United States of America
880529 - - Other,,10.00,10.00,1,,,,United States of America
,2017,,7.83,7.83,20,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,United States of America
"880211 - - Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,United States of America
"880212 - - Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,,2.50,2.50,1,,,,United States of America
880320 - Under-carriages and parts thereof,,2.50,2.50,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,,2.50,2.50,1,,,,United States of America
880390 - Other,,10.00,10.00,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,United States of America
880521 - - Air combat simulators and parts thereof,,10.00,10.00,1,,,,United States of America
880529 - - Other,,10.00,10.00,1,,,,United States of America
,2016,"4,237,561,116",7.83,7.83,20,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","4,482,401",10.00,10.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","2,567,296",10.00,10.00,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","5,298,524",3.00,3.00,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","525,348,658",3.00,3.00,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","2,362,650,393",3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"9,774,204",10.00,10.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"497,228",2.50,2.50,1,,,,United States of America
880320 - Under-carriages and parts thereof,"8,306,703",2.50,2.50,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"1,306,231,409",2.50,2.50,1,,,,United States of America
880390 - Other,"11,785,239",10.00,10.00,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"93,649",10.00,10.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"79,453",10.00,10.00,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"311,982",10.00,10.00,1,,,,United States of America
880529 -- Other,"133,977",10.00,10.00,1,,,,United States of America
,2015,"1,857,038,599",7.83,7.83,20,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","10,707",10.00,10.00,3,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","5,140,232",10.00,10.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","17,583,012",10.00,10.00,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","697,832,328",3.00,3.00,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"619,823",2.50,2.50,1,,,,United States of America
880320 - Under-carriages and parts thereof,"266,920",2.50,2.50,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"1,116,216,051",2.50,2.50,1,,,,United States of America
880390 - Other,"18,534,443",10.00,10.00,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"40,070",10.00,10.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"337,905",10.00,10.00,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"168,555",10.00,10.00,1,,,,United States of America
880529 -- Other,"288,553",10.00,10.00,1,,,,United States of America
,2014,"2,333,572,252",7.83,7.83,20,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,271",10.00,10.00,3,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","13,825,686",10.00,10.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","33,077,252",10.00,10.00,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","956,856",3.00,3.00,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","26,045,773",3.00,3.00,1,,,,United States of America
