Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
Yemen,0,,,,,,,United States of America
,2016,,10.00,10.00,106,,,,United States of America
610120 - Of cotton,,10.00,10.00,1,,,,United States of America
610130 - Of man-made fibres,,10.00,10.00,1,,,,United States of America
610190 - Of other textile materials,,10.00,10.00,1,,,,United States of America
610210 - Of wool or fine animal hair,,10.00,10.00,1,,,,United States of America
610220 - Of cotton,,10.00,10.00,1,,,,United States of America
610230 - Of man-made fibres,,10.00,10.00,1,,,,United States of America
610290 - Of other textile materials,,10.00,10.00,1,,,,United States of America
610310 - Suits,,10.00,10.00,1,,,,United States of America
610322 -- Of cotton,,10.00,10.00,1,,,,United States of America
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
610329 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,United States of America
610332 -- Of cotton,,10.00,10.00,1,,,,United States of America
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
610339 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,United States of America
610342 -- Of cotton,,10.00,10.00,1,,,,United States of America
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
610349 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
610419 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610422 -- Of cotton,,10.00,10.00,1,,,,United States of America
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
610429 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,United States of America
610432 -- Of cotton,,10.00,10.00,1,,,,United States of America
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
610439 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610441 -- Of wool or fine animal hair,,10.00,10.00,1,,,,United States of America
610442 -- Of cotton,,10.00,10.00,1,,,,United States of America
610443 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
610444 -- Of artificial fibres,,10.00,10.00,1,,,,United States of America
610449 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610451 -- Of wool or fine animal hair,,10.00,10.00,1,,,,United States of America
610452 -- Of cotton,,10.00,10.00,1,,,,United States of America
610453 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
610459 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610461 -- Of wool or fine animal hair,,10.00,10.00,1,,,,United States of America
610462 -- Of cotton,,10.00,10.00,1,,,,United States of America
610463 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
610469 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610510 - Of cotton,,10.00,10.00,1,,,,United States of America
610520 - Of man-made fibres,,10.00,10.00,1,,,,United States of America
610590 - Of other textile materials,,10.00,10.00,1,,,,United States of America
610610 - Of cotton,,10.00,10.00,1,,,,United States of America
610620 - Of man-made fibres,,10.00,10.00,1,,,,United States of America
610690 - Of other textile materials,,10.00,10.00,1,,,,United States of America
610711 -- Of cotton,,10.00,10.00,1,,,,United States of America
610712 -- Of man-made fibres,,10.00,10.00,1,,,,United States of America
610719 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610721 -- Of cotton,,10.00,10.00,1,,,,United States of America
610722 -- Of man-made fibres,,10.00,10.00,1,,,,United States of America
610729 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610791 -- Of cotton,,10.00,10.00,1,,,,United States of America
610799 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610811 -- Of man-made fibres,,10.00,10.00,1,,,,United States of America
610819 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610821 -- Of cotton,,10.00,10.00,1,,,,United States of America
610822 -- Of man-made fibres,,10.00,10.00,1,,,,United States of America
610829 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610831 -- Of cotton,,10.00,10.00,1,,,,United States of America
610832 -- Of man-made fibres,,10.00,10.00,1,,,,United States of America
