Importer,Year,Value,Ad val. duties,Number of lines,Viet Nam
,(US$),Simple average,MFN duties,Pref. duties,Viet Nam
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Viet Nam
Brazil,"869,173",,,,,,,Viet Nam
,2018,,16.70,16.70,23,,,,Viet Nam
170112 - - Beet sugar,,16.00,16.00,1,,,,Viet Nam
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Viet Nam
170114 - - Other cane sugar,,16.00,16.00,1,,,,Viet Nam
170191 - - Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Viet Nam
170199 - - Other,,16.00,16.00,1,,,,Viet Nam
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Viet Nam
170219 - - Other,,16.00,16.00,1,,,,Viet Nam
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Viet Nam
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,16.00,16.00,1,,,,Viet Nam
170310 - Cane molasses,,16.00,16.00,1,,,,Viet Nam
170390 - Other,,16.00,16.00,1,,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Viet Nam
170490 - Other,,20.00,20.00,3,,,,Viet Nam
,2017,"63,858",16.70,16.70,23,,,,Viet Nam
170112 - - Beet sugar,,16.00,16.00,1,,,,Viet Nam
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Viet Nam
170114 - - Other cane sugar,,16.00,16.00,1,,,,Viet Nam
170191 - - Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Viet Nam
170199 - - Other,,16.00,16.00,1,,,,Viet Nam
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Viet Nam
170219 - - Other,,16.00,16.00,1,,,,Viet Nam
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Viet Nam
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,16.00,16.00,1,,,,Viet Nam
170310 - Cane molasses,,16.00,16.00,1,,,,Viet Nam
170390 - Other,,16.00,16.00,1,,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Viet Nam
170490 - Other,"63,858",20.00,20.00,3,,,,Viet Nam
,2016,"139,222",16.70,16.70,23,,,,Viet Nam
170112 -- Beet sugar,,16.00,16.00,1,,,,Viet Nam
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Viet Nam
170114 -- Other cane sugar,,16.00,16.00,1,,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Viet Nam
170199 -- Other,,16.00,16.00,1,,,,Viet Nam
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Viet Nam
170219 -- Other,,16.00,16.00,1,,,,Viet Nam
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Viet Nam
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,16.00,16.00,1,,,,Viet Nam
170310 - Cane molasses,,16.00,16.00,1,,,,Viet Nam
170390 - Other,,16.00,16.00,1,,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Viet Nam
170490 - Other,"139,222",20.00,20.00,3,,,,Viet Nam
,2015,"195,592",16.70,16.70,23,,,,Viet Nam
170112 -- Beet sugar,,16.00,16.00,1,,,,Viet Nam
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Viet Nam
170114 -- Other cane sugar,,16.00,16.00,1,,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Viet Nam
170199 -- Other,,16.00,16.00,1,,,,Viet Nam
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Viet Nam
