Importer,Year,Value,Ad val. duties,Number of lines,Viet Nam
,(US$),Simple average,MFN duties,Pref. duties,Viet Nam
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Viet Nam
Yemen,0,,,,,,,Viet Nam
,2016,,10.00,10.00,106,,,,Viet Nam
610120 - Of cotton,,10.00,10.00,1,,,,Viet Nam
610130 - Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
610190 - Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610210 - Of wool or fine animal hair,,10.00,10.00,1,,,,Viet Nam
610220 - Of cotton,,10.00,10.00,1,,,,Viet Nam
610230 - Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
610290 - Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610310 - Suits,,10.00,10.00,1,,,,Viet Nam
610322 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
610329 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Viet Nam
610332 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
610339 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Viet Nam
610342 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
610349 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
610419 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610422 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
610429 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Viet Nam
610432 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
610439 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610441 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Viet Nam
610442 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610443 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
610444 -- Of artificial fibres,,10.00,10.00,1,,,,Viet Nam
610449 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610451 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Viet Nam
610452 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610453 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
610459 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610461 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Viet Nam
610462 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610463 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
610469 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610510 - Of cotton,,10.00,10.00,1,,,,Viet Nam
610520 - Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
610590 - Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610610 - Of cotton,,10.00,10.00,1,,,,Viet Nam
610620 - Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
610690 - Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610711 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610712 -- Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
610719 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610721 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610722 -- Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
610729 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610791 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610799 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610811 -- Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
610819 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610821 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610822 -- Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
610829 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610831 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610832 -- Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
610839 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610891 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
610892 -- Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
610899 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610910 - Of cotton,,10.00,10.00,1,,,,Viet Nam
610990 - Of other textile materials,,10.00,10.00,1,,,,Viet Nam
611011 -- Of wool,,10.00,10.00,1,,,,Viet Nam
611012 -- Of Kashmir (cashmere) goats,,10.00,10.00,1,,,,Viet Nam
611019 -- Other,,10.00,10.00,1,,,,Viet Nam
611020 - Of cotton,,10.00,10.00,1,,,,Viet Nam
611030 - Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
611090 - Of other textile materials,,10.00,10.00,1,,,,Viet Nam
611120 - Of cotton,,10.00,10.00,1,,,,Viet Nam
611130 - Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
611190 - Of other textile materials,,10.00,10.00,1,,,,Viet Nam
611211 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
611212 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
611219 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
611220 - Ski suits,,10.00,10.00,1,,,,Viet Nam
611231 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
611239 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
611241 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
611249 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,1,,,,Viet Nam
611420 - Of cotton,,10.00,10.00,1,,,,Viet Nam
611430 - Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
611490 - Of other textile materials,,10.00,10.00,1,,,,Viet Nam
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,10.00,10.00,1,,,,Viet Nam
"611521 -- Of synthetic fibres, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Viet Nam
"611522 -- Of synthetic fibres, measuring per single yarn 67 decitex or more",,10.00,10.00,1,,,,Viet Nam
611529 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Viet Nam
611594 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Viet Nam
611595 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
611596 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
611599 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
"611610 - Impregnated, coated or covered with plastics or rubber",,10.00,10.00,1,,,,Viet Nam
611691 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Viet Nam
611692 -- Of cotton,,10.00,10.00,1,,,,Viet Nam
611693 -- Of synthetic fibres,,10.00,10.00,1,,,,Viet Nam
611699 -- Of other textile materials,,10.00,10.00,1,,,,Viet Nam
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,10.00,10.00,1,,,,Viet Nam
611780 - Other accessories,,10.00,10.00,1,,,,Viet Nam
611790 - Parts,,10.00,10.00,1,,,,Viet Nam
,2015,,10.00,10.00,106,,,,Viet Nam
610120 - Of cotton,,10.00,10.00,1,,,,Viet Nam
610130 - Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
610190 - Of other textile materials,,10.00,10.00,1,,,,Viet Nam
610210 - Of wool or fine animal hair,,10.00,10.00,1,,,,Viet Nam
610220 - Of cotton,,10.00,10.00,1,,,,Viet Nam
610230 - Of man-made fibres,,10.00,10.00,1,,,,Viet Nam
