Importer,Year,Value,Ad val. duties,Number of lines,Yemen
,(US$),Simple average,MFN duties,Pref. duties,Yemen
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Yemen
European Union,"252,984",,,,,,,Yemen
,2018,,5.34,0.00,171,162,167,,Yemen
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,2,2,2,,Yemen
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,0.00,4,4,4,,Yemen
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,0.00,2,2,2,,Yemen
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,6,,Yemen
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,0.00,4,4,4,,Yemen
040221 - - Not containing added sugar or other sweetening matter,,,0.00,4,4,4,,Yemen
040229 - - Other,,,0.00,5,5,5,,Yemen
040291 - - Not containing added sugar or other sweetening matter,,,0.00,6,6,6,,Yemen
040299 - - Other,,,0.00,5,5,5,,Yemen
040310 - Yogurt,,,0.00,12,12,12,,Yemen
040390 - Other,,,0.00,18,18,18,,Yemen
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,0.00,24,24,24,,Yemen
040490 - Other,,,0.00,6,6,6,,Yemen
040510 - Butter,,,0.00,5,5,5,,Yemen
040520 - Dairy spreads,,,0.00,3,3,3,,Yemen
040590 - Other,,,0.00,2,2,2,,Yemen
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,0.00,3,3,3,,Yemen
"040620 - Grated or powdered cheese, of all kinds",,,0.00,1,1,1,,Yemen
"040630 - Processed cheese, not grated or powdered",,,0.00,4,4,4,,Yemen
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,0.00,3,3,3,,Yemen
040690 - Other cheese,,,0.00,32,32,32,,Yemen
040711 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Yemen
040719 - - Other,,7.70,0.00,3,2,3,,Yemen
040721 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Yemen
040729 - - Other,,7.70,0.00,2,1,2,,Yemen
040790 - Others,,7.70,0.00,2,1,2,,Yemen
040811 - - Dried,,0.00,0.00,2,1,1,,Yemen
040819 - - Other,,0.00,0.00,3,2,2,,Yemen
040891 - - Dried,,0.00,0.00,2,1,1,,Yemen
040899 - - Other,,0.00,0.00,2,1,1,,Yemen
040900 Natural honey.,,17.30,0.00,1,,1,,Yemen
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,Yemen
,2017,"128,117",5.34,0.00,171,162,167,,Yemen
"040110 - Of a fat content, by weight, not exceeding 1 %",,,0.00,2,2,2,,Yemen
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,0.00,4,4,4,,Yemen
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,0.00,2,2,2,,Yemen
"040150 - Of a fat content, by weight, exceeding 10 %",,,0.00,6,6,6,,Yemen
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,0.00,4,4,4,,Yemen
