Importer,Year,Value,Ad val. duties,Number of lines,Yemen
,(US$),Simple average,MFN duties,Pref. duties,Yemen
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Yemen
India,"155,302",,,,,,,Yemen
,2018,,10.05,10.05,414,,,,Yemen
390110 - Polyethylene having a specific gravity of less than 0.94,,10.00,10.00,2,,,,Yemen
390120 - Polyethylene having a specific gravity of 0.94 or more,,10.00,10.00,1,,,,Yemen
390130 - Ethylene-vinyl acetate copolymers,,10.00,10.00,1,,,,Yemen
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,10.00,10.00,1,,,,Yemen
390190 - Other,,10.00,10.00,2,,,,Yemen
390210 - Polypropylene,,10.00,10.00,1,,,,Yemen
390220 - Polyisobutylene,,10.00,10.00,1,,,,Yemen
390230 - Propylene copolymers,,10.00,10.00,1,,,,Yemen
390290 - Other,,10.00,10.00,1,,,,Yemen
390311 - - Expansible,,10.00,10.00,1,,,,Yemen
390319 - - Other,,10.00,10.00,2,,,,Yemen
390320 - Styrene-acrylonitrile (SAN) copolymers,,10.00,10.00,1,,,,Yemen
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,10.00,10.00,1,,,,Yemen
390390 - Other,,10.00,10.00,3,,,,Yemen
"390410 - Poly(vinyl chloride), not mixed with any other substances",,10.00,10.00,2,,,,Yemen
390421 - - Non-plasticised,,10.00,10.00,2,,,,Yemen
390422 - - Plasticised,,10.00,10.00,2,,,,Yemen
390430 - Vinyl chloride-vinyl acetate copolymers,,10.00,10.00,2,,,,Yemen
390440 - Other vinyl chloride copolymers,,10.00,10.00,1,,,,Yemen
390450 - Vinylidene chloride polymers,,10.00,10.00,2,,,,Yemen
390461 - - Polytetrafluoroethylene,,10.00,10.00,1,,,,Yemen
390469 - - Other,,10.00,10.00,2,,,,Yemen
390490 - Other,,10.00,10.00,1,,,,Yemen
390512 - - In aqueous dispersion,,10.00,10.00,3,,,,Yemen
390519 - - Other,,10.00,10.00,3,,,,Yemen
390521 - - In aqueous dispersion,,10.00,10.00,1,,,,Yemen
390529 - - Other,,10.00,10.00,1,,,,Yemen
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,10.00,10.00,1,,,,Yemen
390591 - - Copolymers,,10.00,10.00,1,,,,Yemen
390599 - - Other,,10.00,10.00,2,,,,Yemen
390610 - Poly(methyl methacrylate),,10.00,10.00,2,,,,Yemen
390690 - Other,,10.00,10.00,4,,,,Yemen
390710 - Polyacetals,,10.00,10.00,1,,,,Yemen
390720 - Other polyethers,,10.00,10.00,2,,,,Yemen
