Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
Brazil,"252,692",,,,,,,South Africa
,2018,,22.65,22.65,49,,,,South Africa
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,34.00,34.00,15,,,,South Africa
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,South Africa
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,South Africa
950440 - Playing cards,,20.00,20.00,1,,,,South Africa
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,South Africa
950490 - Other,,10.00,10.00,2,,,,South Africa
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,South Africa
950590 - Other,,20.00,20.00,1,,,,South Africa
950611 - - Skis,,20.00,20.00,1,,,,South Africa
950612 - - Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,South Africa
950619 - - Other,,20.00,20.00,1,,,,South Africa
950621 - - Sailboards,,20.00,20.00,1,,,,South Africa
950629 - - Other,,20.00,20.00,1,,,,South Africa
"950631 - - Clubs, complete",,20.00,20.00,1,,,,South Africa
950632 - - Balls,,20.00,20.00,1,,,,South Africa
950639 - - Other,,20.00,20.00,1,,,,South Africa
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,South Africa
"950651 - - Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,South Africa
950659 - - Other,,20.00,20.00,1,,,,South Africa
950661 - - Lawn-tennis balls,,20.00,20.00,1,,,,South Africa
950662 - - Inflatable,,20.00,20.00,1,,,,South Africa
950669 - - Other,,20.00,20.00,1,,,,South Africa
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,South Africa
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,1,,,,South Africa
950699 - - Other,,20.00,20.00,1,,,,South Africa
950710 - Fishing rods,,20.00,20.00,1,,,,South Africa
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,South Africa
950730 - Fishing reels,,20.00,20.00,1,,,,South Africa
950790 - Other,,20.00,20.00,1,,,,South Africa
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,South Africa
950890 - Other,,5.00,5.00,4,,,,South Africa
,2017,"28,651",22.29,22.29,49,,,,South Africa
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","11,439",32.80,32.80,15,,,,South Africa
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,South Africa
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,South Africa
950440 - Playing cards,,20.00,20.00,1,,,,South Africa
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,South Africa
950490 - Other,,10.00,10.00,2,,,,South Africa
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,South Africa
950590 - Other,,20.00,20.00,1,,,,South Africa
950611 - - Skis,,20.00,20.00,1,,,,South Africa
950612 - - Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,South Africa
950619 - - Other,,20.00,20.00,1,,,,South Africa
950621 - - Sailboards,,20.00,20.00,1,,,,South Africa
950629 - - Other,647,20.00,20.00,1,,,,South Africa
"950631 - - Clubs, complete",,20.00,20.00,1,,,,South Africa
950632 - - Balls,,20.00,20.00,1,,,,South Africa
950639 - - Other,,20.00,20.00,1,,,,South Africa
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,South Africa
"950651 - - Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,South Africa
950659 - - Other,,20.00,20.00,1,,,,South Africa
950661 - - Lawn-tennis balls,,20.00,20.00,1,,,,South Africa
950662 - - Inflatable,,20.00,20.00,1,,,,South Africa
950669 - - Other,,20.00,20.00,1,,,,South Africa
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,South Africa
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,1,,,,South Africa
950699 - - Other,"16,480",20.00,20.00,1,,,,South Africa
950710 - Fishing rods,,20.00,20.00,1,,,,South Africa
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,South Africa
950730 - Fishing reels,,20.00,20.00,1,,,,South Africa
950790 - Other,85,20.00,20.00,1,,,,South Africa
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,South Africa
950890 - Other,,5.00,5.00,4,,,,South Africa
,2016,"31,275",22.65,22.65,49,,,,South Africa
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","6,065",34.00,34.00,15,,,,South Africa
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,South Africa
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,South Africa
950440 - Playing cards,,20.00,20.00,1,,,,South Africa
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,South Africa
950490 - Other,,10.00,10.00,2,,,,South Africa
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,South Africa
950590 - Other,,20.00,20.00,1,,,,South Africa
950611 -- Skis,,20.00,20.00,1,,,,South Africa
950612 -- Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,South Africa
950619 -- Other,,20.00,20.00,1,,,,South Africa
950621 -- Sailboards,,20.00,20.00,1,,,,South Africa
950629 -- Other,"1,849",20.00,20.00,1,,,,South Africa
"950631 -- Clubs, complete",,20.00,20.00,1,,,,South Africa
950632 -- Balls,,20.00,20.00,1,,,,South Africa
950639 -- Other,,20.00,20.00,1,,,,South Africa
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,South Africa
"950651 -- Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,South Africa
950659 -- Other,,20.00,20.00,1,,,,South Africa
950661 -- Lawn-tennis balls,,20.00,20.00,1,,,,South Africa
950662 -- Inflatable,,20.00,20.00,1,,,,South Africa
950669 -- Other,,20.00,20.00,1,,,,South Africa
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,South Africa
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,1,,,,South Africa
950699 -- Other,,20.00,20.00,1,,,,South Africa
950710 - Fishing rods,,20.00,20.00,1,,,,South Africa
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,South Africa
950730 - Fishing reels,,20.00,20.00,1,,,,South Africa
950790 - Other,"23,361",20.00,20.00,1,,,,South Africa
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,South Africa
950890 - Other,,5.00,5.00,4,,,,South Africa
,2015,"34,534",22.65,22.65,49,,,,South Africa
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,34.00,34.00,15,,,,South Africa
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,South Africa
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,South Africa
950440 - Playing cards,,20.00,20.00,1,,,,South Africa
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,South Africa
950490 - Other,,10.00,10.00,2,,,,South Africa
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,South Africa
950590 - Other,"6,791",20.00,20.00,1,,,,South Africa
950611 -- Skis,,20.00,20.00,1,,,,South Africa
950612 -- Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,South Africa
950619 -- Other,,20.00,20.00,1,,,,South Africa
950621 -- Sailboards,,20.00,20.00,1,,,,South Africa
950629 -- Other,"4,905",20.00,20.00,1,,,,South Africa
"950631 -- Clubs, complete",,20.00,20.00,1,,,,South Africa
950632 -- Balls,,20.00,20.00,1,,,,South Africa
950639 -- Other,,20.00,20.00,1,,,,South Africa
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,South Africa
"950651 -- Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,South Africa
950659 -- Other,,20.00,20.00,1,,,,South Africa
950661 -- Lawn-tennis balls,,20.00,20.00,1,,,,South Africa
950662 -- Inflatable,,20.00,20.00,1,,,,South Africa
950669 -- Other,,20.00,20.00,1,,,,South Africa
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,South Africa
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,1,,,,South Africa
950699 -- Other,,20.00,20.00,1,,,,South Africa
950710 - Fishing rods,"3,854",20.00,20.00,1,,,,South Africa
"950720 - Fish-hooks, whether or not snelled","1,571",20.00,20.00,1,,,,South Africa
950730 - Fishing reels,"3,362",20.00,20.00,1,,,,South Africa
950790 - Other,"14,051",20.00,20.00,1,,,,South Africa
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,South Africa
950890 - Other,,5.00,5.00,4,,,,South Africa
,2014,"20,480",22.29,22.29,49,,,,South Africa
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,32.80,32.80,15,,,,South Africa
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,South Africa
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,South Africa
950440 - Playing cards,,20.00,20.00,1,,,,South Africa
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,South Africa
950490 - Other,,10.00,10.00,2,,,,South Africa
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,South Africa
950590 - Other,,20.00,20.00,1,,,,South Africa
950611 -- Skis,,20.00,20.00,1,,,,South Africa
950612 -- Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,South Africa
950619 -- Other,,20.00,20.00,1,,,,South Africa
950621 -- Sailboards,,20.00,20.00,1,,,,South Africa
950629 -- Other,"9,710",20.00,20.00,1,,,,South Africa
"950631 -- Clubs, complete",,20.00,20.00,1,,,,South Africa
950632 -- Balls,,20.00,20.00,1,,,,South Africa
950639 -- Other,,20.00,20.00,1,,,,South Africa
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,South Africa
"950651 -- Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,South Africa
950659 -- Other,,20.00,20.00,1,,,,South Africa
950661 -- Lawn-tennis balls,,20.00,20.00,1,,,,South Africa
950662 -- Inflatable,,20.00,20.00,1,,,,South Africa
950669 -- Other,,20.00,20.00,1,,,,South Africa
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,South Africa
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,1,,,,South Africa
950699 -- Other,,20.00,20.00,1,,,,South Africa
950710 - Fishing rods,768,20.00,20.00,1,,,,South Africa
"950720 - Fish-hooks, whether or not snelled","2,416",20.00,20.00,1,,,,South Africa
950730 - Fishing reels,443,20.00,20.00,1,,,,South Africa
950790 - Other,"7,143",20.00,20.00,1,,,,South Africa
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,South Africa
950890 - Other,,5.00,5.00,4,,,,South Africa
,2013,"17,415",22.29,22.29,49,,,,South Africa
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,32.80,32.80,15,,,,South Africa
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,South Africa
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,South Africa
950440 - Playing cards,,20.00,20.00,1,,,,South Africa
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,South Africa
950490 - Other,,10.00,10.00,2,,,,South Africa
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,South Africa
950590 - Other,,20.00,20.00,1,,,,South Africa
950611 -- Skis,,20.00,20.00,1,,,,South Africa
950612 -- Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,South Africa
950619 -- Other,,20.00,20.00,1,,,,South Africa
950621 -- Sailboards,,20.00,20.00,1,,,,South Africa
950629 -- Other,"5,187",20.00,20.00,1,,,,South Africa
"950631 -- Clubs, complete",,20.00,20.00,1,,,,South Africa
950632 -- Balls,,20.00,20.00,1,,,,South Africa
950639 -- Other,,20.00,20.00,1,,,,South Africa
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,South Africa
"950651 -- Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,South Africa
950659 -- Other,,20.00,20.00,1,,,,South Africa
950661 -- Lawn-tennis balls,,20.00,20.00,1,,,,South Africa
950662 -- Inflatable,,20.00,20.00,1,,,,South Africa
950669 -- Other,,20.00,20.00,1,,,,South Africa
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,South Africa
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,1,,,,South Africa
950699 -- Other,,20.00,20.00,1,,,,South Africa
950710 - Fishing rods,,20.00,20.00,1,,,,South Africa
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,South Africa
950730 - Fishing reels,,20.00,20.00,1,,,,South Africa
950790 - Other,"12,228",20.00,20.00,1,,,,South Africa
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,South Africa
950890 - Other,,5.00,5.00,4,,,,South Africa
,2012,"4,609",22.29,22.29,49,,,,South Africa
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,32.80,32.80,15,,,,South Africa
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,South Africa
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,South Africa
950440 - Playing cards,,20.00,20.00,1,,,,South Africa
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,South Africa
950490 - Other,,10.00,10.00,2,,,,South Africa
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,South Africa
950590 - Other,,20.00,20.00,1,,,,South Africa
950611 -- Skis,,20.00,20.00,1,,,,South Africa
950612 -- Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,South Africa
950619 -- Other,,20.00,20.00,1,,,,South Africa
950621 -- Sailboards,,20.00,20.00,1,,,,South Africa
950629 -- Other,763,20.00,20.00,1,,,,South Africa
"950631 -- Clubs, complete",,20.00,20.00,1,,,,South Africa
950632 -- Balls,,20.00,20.00,1,,,,South Africa
950639 -- Other,,20.00,20.00,1,,,,South Africa
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,South Africa
"950651 -- Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,South Africa
950659 -- Other,,20.00,20.00,1,,,,South Africa
950661 -- Lawn-tennis balls,802,20.00,20.00,1,,,,South Africa
950662 -- Inflatable,,20.00,20.00,1,,,,South Africa
950669 -- Other,,20.00,20.00,1,,,,South Africa
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,South Africa
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,1,,,,South Africa
950699 -- Other,,20.00,20.00,1,,,,South Africa
950710 - Fishing rods,,20.00,20.00,1,,,,South Africa
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,South Africa
950730 - Fishing reels,,20.00,20.00,1,,,,South Africa
950790 - Other,"3,044",20.00,20.00,1,,,,South Africa
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,South Africa
950890 - Other,,5.00,5.00,4,,,,South Africa
,2011,"40,000",22.55,22.55,51,,,,South Africa
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,34.00,34.00,15,,,,South Africa
950410 - Video games of a kind used with a television receiver,,20.00,20.00,3,,,,South Africa
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,South Africa
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment",,20.00,20.00,1,,,,South Africa
950440 - Playing cards,,20.00,20.00,1,,,,South Africa
950490 - Other,,10.00,10.00,2,,,,South Africa
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,South Africa
950590 - Other,,20.00,20.00,1,,,,South Africa
950611 -- Skis,,20.00,20.00,1,,,,South Africa
950612 -- Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,South Africa
950619 -- Other,,20.00,20.00,1,,,,South Africa
950621 -- Sailboards,,20.00,20.00,1,,,,South Africa
950629 -- Other,"10,000",20.00,20.00,1,,,,South Africa
"950631 -- Clubs, complete",,20.00,20.00,1,,,,South Africa
950632 -- Balls,,20.00,20.00,1,,,,South Africa
950639 -- Other,,20.00,20.00,1,,,,South Africa
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,South Africa
"950651 -- Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,South Africa
950659 -- Other,,20.00,20.00,1,,,,South Africa
950661 -- Lawn-tennis balls,,20.00,20.00,1,,,,South Africa
950662 -- Inflatable,,20.00,20.00,1,,,,South Africa
950669 -- Other,,20.00,20.00,1,,,,South Africa
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,South Africa
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,1,,,,South Africa
950699 -- Other,,20.00,20.00,1,,,,South Africa
950710 - Fishing rods,,20.00,20.00,1,,,,South Africa
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,South Africa
950730 - Fishing reels,,20.00,20.00,1,,,,South Africa
950790 - Other,"30,000",20.00,20.00,1,,,,South Africa
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,South Africa
950890 - Other,,5.00,5.00,4,,,,South Africa
,2010,"1,000",18.43,18.43,51,,,,South Africa
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,20.00,20.00,15,,,,South Africa
950410 - Video games of a kind used with a television receiver,,20.00,20.00,3,,,,South Africa
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,South Africa
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment",,20.00,20.00,1,,,,South Africa
950440 - Playing cards,,20.00,20.00,1,,,,South Africa
950490 - Other,,10.00,10.00,2,,,,South Africa
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,South Africa
950590 - Other,,20.00,20.00,1,,,,South Africa
950611 -- Skis,,20.00,20.00,1,,,,South Africa
950612 -- Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,South Africa
950619 -- Other,,20.00,20.00,1,,,,South Africa
950621 -- Sailboards,,20.00,20.00,1,,,,South Africa
950629 -- Other,,20.00,20.00,1,,,,South Africa
"950631 -- Clubs, complete",,20.00,20.00,1,,,,South Africa
950632 -- Balls,,20.00,20.00,1,,,,South Africa
950639 -- Other,,20.00,20.00,1,,,,South Africa
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,South Africa
"950651 -- Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,South Africa
950659 -- Other,,20.00,20.00,1,,,,South Africa
950661 -- Lawn-tennis balls,,20.00,20.00,1,,,,South Africa
950662 -- Inflatable,,20.00,20.00,1,,,,South Africa
950669 -- Other,"1,000",20.00,20.00,1,,,,South Africa
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,South Africa
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,1,,,,South Africa
950699 -- Other,,20.00,20.00,1,,,,South Africa
950710 - Fishing rods,,20.00,20.00,1,,,,South Africa
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,South Africa
950730 - Fishing reels,,20.00,20.00,1,,,,South Africa
950790 - Other,,20.00,20.00,1,,,,South Africa
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,South Africa
950890 - Other,,5.00,5.00,4,,,,South Africa
,2009,"30,000",18.43,18.43,51,,,,South Africa
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,20.00,20.00,15,,,,South Africa
950410 - Video games of a kind used with a television receiver,,20.00,20.00,3,,,,South Africa
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,South Africa
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment",,20.00,20.00,1,,,,South Africa
950440 - Playing cards,,20.00,20.00,1,,,,South Africa
950490 - Other,,10.00,10.00,2,,,,South Africa
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,South Africa
950590 - Other,,20.00,20.00,1,,,,South Africa
950611 -- Skis,,20.00,20.00,1,,,,South Africa
950612 -- Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,South Africa
950619 -- Other,,20.00,20.00,1,,,,South Africa
950621 -- Sailboards,,20.00,20.00,1,,,,South Africa
950629 -- Other,,20.00,20.00,1,,,,South Africa
"950631 -- Clubs, complete",,20.00,20.00,1,,,,South Africa
950632 -- Balls,,20.00,20.00,1,,,,South Africa
950639 -- Other,,20.00,20.00,1,,,,South Africa
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,South Africa
"950651 -- Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,South Africa
950659 -- Other,,20.00,20.00,1,,,,South Africa
950661 -- Lawn-tennis balls,,20.00,20.00,1,,,,South Africa
950662 -- Inflatable,,20.00,20.00,1,,,,South Africa
950669 -- Other,,20.00,20.00,1,,,,South Africa
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,South Africa
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","5,000",20.00,20.00,1,,,,South Africa
950699 -- Other,"1,000",20.00,20.00,1,,,,South Africa
950710 - Fishing rods,,20.00,20.00,1,,,,South Africa
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,South Africa
950730 - Fishing reels,,20.00,20.00,1,,,,South Africa
950790 - Other,"24,000",20.00,20.00,1,,,,South Africa
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,South Africa
950890 - Other,,5.00,5.00,4,,,,South Africa
,2008,"1,000",18.43,18.43,51,,,,South Africa
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,20.00,20.00,15,,,,South Africa
950410 - Video games of a kind used with a television receiver,,20.00,20.00,3,,,,South Africa
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,South Africa
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment",,20.00,20.00,1,,,,South Africa
950440 - Playing cards,,20.00,20.00,1,,,,South Africa
950490 - Other,,10.00,10.00,2,,,,South Africa
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,South Africa
950590 - Other,,20.00,20.00,1,,,,South Africa
950611 -- Skis,,20.00,20.00,1,,,,South Africa
950612 -- Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,South Africa
950619 -- Other,,20.00,20.00,1,,,,South Africa
950621 -- Sailboards,,20.00,20.00,1,,,,South Africa
950629 -- Other,"1,000",20.00,20.00,1,,,,South Africa
"950631 -- Clubs, complete",,20.00,20.00,1,,,,South Africa
950632 -- Balls,,20.00,20.00,1,,,,South Africa
950639 -- Other,,20.00,20.00,1,,,,South Africa
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,South Africa
"950651 -- Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,South Africa
950659 -- Other,,20.00,20.00,1,,,,South Africa
950661 -- Lawn-tennis balls,,20.00,20.00,1,,,,South Africa
950662 -- Inflatable,,20.00,20.00,1,,,,South Africa
950669 -- Other,,20.00,20.00,1,,,,South Africa
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,South Africa
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,1,,,,South Africa
950699 -- Other,,20.00,20.00,1,,,,South Africa
950710 - Fishing rods,,20.00,20.00,1,,,,South Africa
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,South Africa
950730 - Fishing reels,,20.00,20.00,1,,,,South Africa
