Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
India,"61,270,631",,,,,,,South Africa
,2018,,47.44,47.44,41,,,,South Africa
170112 - - Beet sugar,,100.00,100.00,1,,,,South Africa
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,100.00,100.00,3,,,,South Africa
170114 - - Other cane sugar,,100.00,100.00,3,,,,South Africa
170191 - - Containing added flavouring or colouring matter,,100.00,100.00,1,,,,South Africa
170199 - - Other,,100.00,100.00,2,,,,South Africa
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,30.00,30.00,2,,,,South Africa
170219 - - Other,,30.00,30.00,2,,,,South Africa
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,South Africa
170250 - Chemically pure fructose,,30.00,30.00,1,,,,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,South Africa
170310 - Cane molasses,,30.00,30.00,1,,,,South Africa
170390 - Other,,30.00,30.00,2,,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated",,45.00,45.00,1,,,,South Africa
170490 - Other,,30.00,30.00,4,,,,South Africa
,2017,,35.37,35.37,41,,,,South Africa
170112 - - Beet sugar,,60.00,60.00,1,,,,South Africa
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,South Africa
170114 - - Other cane sugar,,60.00,60.00,3,,,,South Africa
170191 - - Containing added flavouring or colouring matter,,60.00,60.00,1,,,,South Africa
170199 - - Other,,60.00,60.00,2,,,,South Africa
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,South Africa
170219 - - Other,,25.00,25.00,2,,,,South Africa
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,South Africa
170250 - Chemically pure fructose,,30.00,30.00,1,,,,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,South Africa
170310 - Cane molasses,,10.00,10.00,1,,,,South Africa
170390 - Other,,10.00,10.00,2,,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,South Africa
170490 - Other,,30.00,30.00,4,,,,South Africa
,2016,"1,209",35.37,35.37,41,,,,South Africa
170112 -- Beet sugar,,60.00,60.00,1,,,,South Africa
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,South Africa
170114 -- Other cane sugar,,60.00,60.00,3,,,,South Africa
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,South Africa
170199 -- Other,"1,209",60.00,60.00,2,,,,South Africa
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,South Africa
170219 -- Other,,25.00,25.00,2,,,,South Africa
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,South Africa
170250 - Chemically pure fructose,,30.00,30.00,1,,,,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,South Africa
170310 - Cane molasses,,10.00,10.00,1,,,,South Africa
170390 - Other,,10.00,10.00,2,,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,South Africa
170490 - Other,,30.00,30.00,4,,,,South Africa
,2015,"17,096",35.37,35.37,41,,,,South Africa
170112 -- Beet sugar,,60.00,60.00,1,,,,South Africa
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,South Africa
170114 -- Other cane sugar,,60.00,60.00,3,,,,South Africa
