Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
India,"263,821",,,,,,,South Africa
,2018,,25.00,25.00,191,60,,,South Africa
610120 - Of cotton,,,,1,1,,,South Africa
610130 - Of man-made fibres,,,,2,2,,,South Africa
610190 - Of other textile materials,,25.00,25.00,2,,,,South Africa
610210 - Of wool or fine animal hair,,,,1,1,,,South Africa
610220 - Of cotton,,,,1,1,,,South Africa
610230 - Of man-made fibres,,,,2,2,,,South Africa
610290 - Of other textile materials,,25.00,25.00,2,,,,South Africa
610310 - Suits,,25.00,25.00,4,,,,South Africa
610322 - - Of cotton,,25.00,25.00,1,,,,South Africa
610323 - - Of synthetic fibres,,25.00,25.00,1,,,,South Africa
610329 - - Of other textile materials,,25.00,25.00,3,,,,South Africa
610331 - - Of wool or fine animal hair,,25.00,25.00,1,,,,South Africa
610332 - - Of cotton,,25.00,25.00,1,,,,South Africa
610333 - - Of synthetic fibres,,25.00,25.00,1,,,,South Africa
610339 - - Of other textile materials,,25.00,25.00,3,,,,South Africa
610341 - - Of wool or fine animal hair,,25.00,25.00,1,,,,South Africa
610342 - - Of cotton,,25.00,25.00,1,,,,South Africa
610343 - - Of synthetic fibres,,25.00,25.00,1,,,,South Africa
610349 - - Of other textile materials,,25.00,25.00,3,,,,South Africa
610413 - - Of synthetic fibres,,25.00,25.00,1,,,,South Africa
610419 - - Of other textile materials,,,,3,3,,,South Africa
610422 - - Of cotton,,25.00,25.00,1,,,,South Africa
610423 - - Of synthetic fibres,,25.00,25.00,1,,,,South Africa
610429 - - Of other textile materials,,25.00,25.00,3,,,,South Africa
610431 - - Of wool or fine animal hair,,25.00,25.00,1,,,,South Africa
610432 - - Of cotton,,25.00,25.00,1,,,,South Africa
610433 - - Of synthetic fibres,,25.00,25.00,1,,,,South Africa
610439 - - Of other textile materials,,25.00,25.00,3,,,,South Africa
610441 - - Of wool or fine animal hair,,,,1,1,,,South Africa
610442 - - Of cotton,,25.00,25.00,1,,,,South Africa
610443 - - Of synthetic fibres,,,,1,1,,,South Africa
610444 - - Of artificial fibres,,,,1,1,,,South Africa
610449 - - Of other textile materials,,,,2,2,,,South Africa
610451 - - Of wool or fine animal hair,,,,1,1,,,South Africa
610452 - - Of cotton,,,,1,1,,,South Africa
610453 - - Of synthetic fibres,,,,1,1,,,South Africa
610459 - - Of other textile materials,,,,3,3,,,South Africa
610461 - - Of wool or fine animal hair,,25.00,25.00,1,,,,South Africa
610462 - - Of cotton,,,,1,1,,,South Africa
610463 - - Of synthetic fibres,,,,1,1,,,South Africa
610469 - - Of other textile materials,,25.00,25.00,3,,,,South Africa
610510 - Of cotton,,,,3,3,,,South Africa
610520 - Of man-made fibres,,,,2,2,,,South Africa
610590 - Of other textile materials,,,,2,2,,,South Africa
610610 - Of cotton,,,,1,1,,,South Africa
610620 - Of man-made fibres,,,,2,2,,,South Africa
610690 - Of other textile materials,,,,3,3,,,South Africa
610711 - - Of cotton,,,,1,1,,,South Africa
610712 - - Of man-made fibres,,,,2,2,,,South Africa
610719 - - Of other textile materials,,25.00,25.00,2,,,,South Africa
610721 - - Of cotton,,25.00,25.00,1,,,,South Africa
610722 - - Of man-made fibres,,25.00,25.00,2,,,,South Africa
610729 - - Of other textile materials,,25.00,25.00,3,,,,South Africa
610791 - - Of cotton,,25.00,25.00,2,,,,South Africa
610799 - - Of other textile materials,,25.00,25.00,3,,,,South Africa
610811 - - Of man-made fibres,,25.00,25.00,2,,,,South Africa
610819 - - Of other textile materials,,25.00,25.00,3,,,,South Africa
610821 - - Of cotton,,,,1,1,,,South Africa
610822 - - Of man-made fibres,,,,2,2,,,South Africa
610829 - - Of other textile materials,,25.00,25.00,2,,,,South Africa
610831 - - Of cotton,,25.00,25.00,1,,,,South Africa
610832 - - Of man-made fibres,,25.00,25.00,2,,,,South Africa
610839 - - Of other textile materials,,25.00,25.00,2,,,,South Africa
610891 - - Of cotton,,,,1,1,,,South Africa
610892 - - Of man-made fibres,,,,2,2,,,South Africa
610899 - - Of other textile materials,,25.00,25.00,3,,,,South Africa
610910 - Of cotton,,,,1,1,,,South Africa
610990 - Of other textile materials,,,,5,5,,,South Africa
611011 - - Of wool,,,,3,3,,,South Africa
611012 - - Of Kashmir (cashmere) goats,,,,1,1,,,South Africa
611019 - - Other,,,,1,1,,,South Africa
611020 - Of cotton,,,,1,1,,,South Africa
611030 - Of man-made fibres,,,,2,2,,,South Africa
611090 - Of other textile materials,,,,1,1,,,South Africa
611120 - Of cotton,,25.00,25.00,1,,,,South Africa
611130 - Of synthetic fibres,,25.00,25.00,1,,,,South Africa
611190 - Of other textile materials,,25.00,25.00,3,,,,South Africa
611211 - - Of cotton,,25.00,25.00,1,,,,South Africa
611212 - - Of synthetic fibres,,25.00,25.00,1,,,,South Africa
611219 - - Of other textile materials,,25.00,25.00,4,,,,South Africa
611220 - Ski suits,,25.00,25.00,6,,,,South Africa
611231 - - Of synthetic fibres,,25.00,25.00,1,,,,South Africa
611239 - - Of other textile materials,,25.00,25.00,3,,,,South Africa
611241 - - Of synthetic fibres,,25.00,25.00,1,,,,South Africa
611249 - - Of other textile materials,,25.00,25.00,3,,,,South Africa
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,25.00,25.00,1,,,,South Africa
611420 - Of cotton,,25.00,25.00,1,,,,South Africa
611430 - Of man-made fibres,,25.00,25.00,2,,,,South Africa
611490 - Of other textile materials,,25.00,25.00,2,,,,South Africa
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,25.00,25.00,1,,,,South Africa
"611521 - - Of synthetic fibres, measuring per single yarn less than 67 decitex",,25.00,25.00,1,,,,South Africa
"611522 - - Of synthetic fibres, measuring per single yarn 67 decitex or more",,25.00,25.00,1,,,,South Africa
611529 - - Of other textile materials,,25.00,25.00,4,,,,South Africa
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,25.00,25.00,1,,,,South Africa
611594 - - Of wool or fine animal hair,,25.00,25.00,1,,,,South Africa
611595 - - Of cotton,,25.00,25.00,1,,,,South Africa
611596 - - Of synthetic fibres,,25.00,25.00,1,,,,South Africa
611599 - - Of other textile materials,,25.00,25.00,2,,,,South Africa
"611610 - Impregnated, coated or covered with plastics or rubber",,25.00,25.00,1,,,,South Africa
611691 - - Of wool or fine animal hair,,25.00,25.00,1,,,,South Africa
611692 - - Of cotton,,25.00,25.00,1,,,,South Africa
611693 - - Of synthetic fibres,,25.00,25.00,1,,,,South Africa
611699 - - Of other textile materials,,25.00,25.00,2,,,,South Africa
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,25.00,25.00,5,,,,South Africa
611780 - Other accessories,,25.00,25.00,5,,,,South Africa
611790 - Parts,,25.00,25.00,1,,,,South Africa
,2017,,10.00,10.00,191,60,,,South Africa
610120 - Of cotton,,,,1,1,,,South Africa
610130 - Of man-made fibres,,,,2,2,,,South Africa
610190 - Of other textile materials,,10.00,10.00,2,,,,South Africa
610210 - Of wool or fine animal hair,,,,1,1,,,South Africa
610220 - Of cotton,,,,1,1,,,South Africa
610230 - Of man-made fibres,,,,2,2,,,South Africa
610290 - Of other textile materials,,10.00,10.00,2,,,,South Africa
610310 - Suits,,10.00,10.00,4,,,,South Africa
610322 - - Of cotton,,10.00,10.00,1,,,,South Africa
610323 - - Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610329 - - Of other textile materials,,10.00,10.00,3,,,,South Africa
610331 - - Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610332 - - Of cotton,,10.00,10.00,1,,,,South Africa
610333 - - Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610339 - - Of other textile materials,,10.00,10.00,3,,,,South Africa
610341 - - Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610342 - - Of cotton,,10.00,10.00,1,,,,South Africa
610343 - - Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610349 - - Of other textile materials,,10.00,10.00,3,,,,South Africa
610413 - - Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610419 - - Of other textile materials,,,,3,3,,,South Africa
610422 - - Of cotton,,10.00,10.00,1,,,,South Africa
610423 - - Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610429 - - Of other textile materials,,10.00,10.00,3,,,,South Africa
610431 - - Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610432 - - Of cotton,,10.00,10.00,1,,,,South Africa
610433 - - Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610439 - - Of other textile materials,,10.00,10.00,3,,,,South Africa
610441 - - Of wool or fine animal hair,,,,1,1,,,South Africa
610442 - - Of cotton,,10.00,10.00,1,,,,South Africa
610443 - - Of synthetic fibres,,,,1,1,,,South Africa
610444 - - Of artificial fibres,,,,1,1,,,South Africa
610449 - - Of other textile materials,,,,2,2,,,South Africa
610451 - - Of wool or fine animal hair,,,,1,1,,,South Africa
610452 - - Of cotton,,,,1,1,,,South Africa
610453 - - Of synthetic fibres,,,,1,1,,,South Africa
610459 - - Of other textile materials,,,,3,3,,,South Africa
610461 - - Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610462 - - Of cotton,,,,1,1,,,South Africa
610463 - - Of synthetic fibres,,,,1,1,,,South Africa
610469 - - Of other textile materials,,10.00,10.00,3,,,,South Africa
610510 - Of cotton,,,,3,3,,,South Africa
610520 - Of man-made fibres,,,,2,2,,,South Africa
610590 - Of other textile materials,,,,2,2,,,South Africa
610610 - Of cotton,,,,1,1,,,South Africa
610620 - Of man-made fibres,,,,2,2,,,South Africa
610690 - Of other textile materials,,,,3,3,,,South Africa
610711 - - Of cotton,,,,1,1,,,South Africa
610712 - - Of man-made fibres,,,,2,2,,,South Africa
610719 - - Of other textile materials,,10.00,10.00,2,,,,South Africa
610721 - - Of cotton,,10.00,10.00,1,,,,South Africa
610722 - - Of man-made fibres,,10.00,10.00,2,,,,South Africa
610729 - - Of other textile materials,,10.00,10.00,3,,,,South Africa
610791 - - Of cotton,,10.00,10.00,2,,,,South Africa
610799 - - Of other textile materials,,10.00,10.00,3,,,,South Africa
610811 - - Of man-made fibres,,10.00,10.00,2,,,,South Africa
610819 - - Of other textile materials,,10.00,10.00,3,,,,South Africa
610821 - - Of cotton,,,,1,1,,,South Africa
610822 - - Of man-made fibres,,,,2,2,,,South Africa
610829 - - Of other textile materials,,10.00,10.00,2,,,,South Africa
610831 - - Of cotton,,10.00,10.00,1,,,,South Africa
610832 - - Of man-made fibres,,10.00,10.00,2,,,,South Africa
610839 - - Of other textile materials,,10.00,10.00,2,,,,South Africa
610891 - - Of cotton,,,,1,1,,,South Africa
610892 - - Of man-made fibres,,,,2,2,,,South Africa
610899 - - Of other textile materials,,10.00,10.00,3,,,,South Africa
610910 - Of cotton,,,,1,1,,,South Africa
610990 - Of other textile materials,,,,5,5,,,South Africa
611011 - - Of wool,,,,3,3,,,South Africa
611012 - - Of Kashmir (cashmere) goats,,,,1,1,,,South Africa
611019 - - Other,,,,1,1,,,South Africa
611020 - Of cotton,,,,1,1,,,South Africa
611030 - Of man-made fibres,,,,2,2,,,South Africa
611090 - Of other textile materials,,,,1,1,,,South Africa
611120 - Of cotton,,10.00,10.00,1,,,,South Africa
611130 - Of synthetic fibres,,10.00,10.00,1,,,,South Africa
611190 - Of other textile materials,,10.00,10.00,3,,,,South Africa
611211 - - Of cotton,,10.00,10.00,1,,,,South Africa
611212 - - Of synthetic fibres,,10.00,10.00,1,,,,South Africa
611219 - - Of other textile materials,,10.00,10.00,4,,,,South Africa
611220 - Ski suits,,10.00,10.00,6,,,,South Africa
611231 - - Of synthetic fibres,,10.00,10.00,1,,,,South Africa
611239 - - Of other textile materials,,10.00,10.00,3,,,,South Africa
611241 - - Of synthetic fibres,,10.00,10.00,1,,,,South Africa
611249 - - Of other textile materials,,10.00,10.00,3,,,,South Africa
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,1,,,,South Africa
611420 - Of cotton,,10.00,10.00,1,,,,South Africa
611430 - Of man-made fibres,,10.00,10.00,2,,,,South Africa
611490 - Of other textile materials,,10.00,10.00,2,,,,South Africa
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,10.00,10.00,1,,,,South Africa
"611521 - - Of synthetic fibres, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,South Africa
"611522 - - Of synthetic fibres, measuring per single yarn 67 decitex or more",,10.00,10.00,1,,,,South Africa
611529 - - Of other textile materials,,10.00,10.00,4,,,,South Africa
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,South Africa
611594 - - Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
611595 - - Of cotton,,10.00,10.00,1,,,,South Africa
611596 - - Of synthetic fibres,,10.00,10.00,1,,,,South Africa
611599 - - Of other textile materials,,10.00,10.00,2,,,,South Africa
"611610 - Impregnated, coated or covered with plastics or rubber",,10.00,10.00,1,,,,South Africa
611691 - - Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
611692 - - Of cotton,,10.00,10.00,1,,,,South Africa
611693 - - Of synthetic fibres,,10.00,10.00,1,,,,South Africa
611699 - - Of other textile materials,,10.00,10.00,2,,,,South Africa
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,10.00,10.00,5,,,,South Africa
611780 - Other accessories,,10.00,10.00,5,,,,South Africa
611790 - Parts,,10.00,10.00,1,,,,South Africa
,2016,"36,619",10.00,10.00,191,60,,,South Africa
610120 - Of cotton,,,,1,1,,,South Africa
610130 - Of man-made fibres,,,,2,2,,,South Africa
610190 - Of other textile materials,,10.00,10.00,2,,,,South Africa
610210 - Of wool or fine animal hair,,,,1,1,,,South Africa
610220 - Of cotton,,,,1,1,,,South Africa
610230 - Of man-made fibres,,,,2,2,,,South Africa
610290 - Of other textile materials,,10.00,10.00,2,,,,South Africa
610310 - Suits,,10.00,10.00,4,,,,South Africa
610322 -- Of cotton,,10.00,10.00,1,,,,South Africa
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610329 -- Of other textile materials,,10.00,10.00,3,,,,South Africa
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610332 -- Of cotton,,10.00,10.00,1,,,,South Africa
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610339 -- Of other textile materials,,10.00,10.00,3,,,,South Africa
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610342 -- Of cotton,,10.00,10.00,1,,,,South Africa
610343 -- Of synthetic fibres,888,10.00,10.00,1,,,,South Africa
610349 -- Of other textile materials,,10.00,10.00,3,,,,South Africa
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610419 -- Of other textile materials,,,,3,3,,,South Africa
610422 -- Of cotton,,10.00,10.00,1,,,,South Africa
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610429 -- Of other textile materials,,10.00,10.00,3,,,,South Africa
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610432 -- Of cotton,,10.00,10.00,1,,,,South Africa
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610439 -- Of other textile materials,,10.00,10.00,3,,,,South Africa
610441 -- Of wool or fine animal hair,,,,1,1,,,South Africa
610442 -- Of cotton,,10.00,10.00,1,,,,South Africa
610443 -- Of synthetic fibres,,,,1,1,,,South Africa
610444 -- Of artificial fibres,,,,1,1,,,South Africa
610449 -- Of other textile materials,,,,2,2,,,South Africa
610451 -- Of wool or fine animal hair,,,,1,1,,,South Africa
610452 -- Of cotton,,,,1,1,,,South Africa
610453 -- Of synthetic fibres,,,,1,1,,,South Africa
610459 -- Of other textile materials,,,,3,3,,,South Africa
610461 -- Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610462 -- Of cotton,,,,1,1,,,South Africa
610463 -- Of synthetic fibres,,,,1,1,,,South Africa
610469 -- Of other textile materials,,10.00,10.00,3,,,,South Africa
610510 - Of cotton,,,,3,3,,,South Africa
610520 - Of man-made fibres,,,,2,2,,,South Africa
610590 - Of other textile materials,430,,,2,2,,,South Africa
610610 - Of cotton,,,,1,1,,,South Africa
610620 - Of man-made fibres,,,,2,2,,,South Africa
610690 - Of other textile materials,,,,3,3,,,South Africa
610711 -- Of cotton,,,,1,1,,,South Africa
610712 -- Of man-made fibres,,,,2,2,,,South Africa
610719 -- Of other textile materials,,10.00,10.00,2,,,,South Africa
610721 -- Of cotton,,10.00,10.00,1,,,,South Africa
